function_old,function_new,function_value
"Lehrer der Moraltheologie","Lehrer, Moraltheologie","L, G"
"Lehrer für Moraltheologie","Lehrer, Moraltheologie","L, G"
"Lehrer f. Moraltheologie","Lehrer, Moraltheologie","L, G"
"Lehrer, Philosophie","Lehrer, Philosophie",L
"Philosophielehrer","Lehrer, Philosophie",L
"Lehrer der Philosophie","Lehrer, Philosophie",L
"Lehrer für Philosophie","Lehrer, Philosophie",L
"Lehrer f. Philosophie","Lehrer, Philosophie",L
"Lehrer, Philosophie / Recht","Lehrer, Philosophie / Recht","L, R"
"Lehrer der Philosophie und des Rechts","Lehrer, Philosophie / Recht","L, R"
"Lehrer für Philosophie und Recht","Lehrer, Philosophie / Recht","L, R"
"Lehrer f. Philosophie und Recht","Lehrer, Philosophie / Recht","L, R"
"Lehrer, Physik","Lehrer, Physik",L
"Physiklehrer","Lehrer, Physik",L
"Lehrer der Physik","Lehrer, Physik",L
"Lehrer für Physik","Lehrer, Physik",L
"Lehrer f. Physik","Lehrer, Physik",L
"Lehrer, Physik / Ethik","Lehrer, Physik / Ethik",L
"Lehrer der Physik und Ethik","Lehrer, Physik / Ethik",L
"Lehrer für Physik und Ethik","Lehrer, Physik / Ethik",L
"Lehrer f. Physik und Ethik","Lehrer, Physik / Ethik",L
"Lehrer, Physik / Mathematik","Lehrer, Physik / Mathematik",L
"Lehrer der Physik und Mathematik","Lehrer, Physik / Mathematik",L
"Lehrer für Physik und Mathematik","Lehrer, Physik / Mathematik",L
"Lehrer f. Physik und Mathematik","Lehrer, Physik / Mathematik",L
"Lehrer, Physik / Metaphysik / Ethik","Lehrer, Physik / Metaphysik / Ethik",L
"Lehrer der Physik, Metaphysik und Ethik","Lehrer, Physik / Metaphysik / Ethik",L
"Lehrer für Physik, Metaphysik und Ethik","Lehrer, Physik / Metaphysik / Ethik",L
"Lehrer f. Physik, Metaphysik und Ethik","Lehrer, Physik / Metaphysik / Ethik",L
"Lehrer, Polemik","Lehrer, Polemik",L
"Polemiklehrer","Lehrer, Polemik",L
"Lehrer der Polemik","Lehrer, Polemik",L
"Lehrer für Polemik","Lehrer, Polemik",L
"Lehrer f. Polemik","Lehrer, Polemik",L
"Lehrer, Rhetorik","Lehrer, Rhetorik",L
"Rhetoriklehrer","Lehrer, Rhetorik",L
"Lehrer der Rhetorik","Lehrer, Rhetorik",L
"Lehrer für Rhetorik","Lehrer, Rhetorik",L
"Lehrer f. Rhetorik","Lehrer, Rhetorik",L
"Lehrer, Theologie","Lehrer, Theologie","L, G"
"Theologielehrer","Lehrer, Theologie","L, G"
"Lehrer der Theologie","Lehrer, Theologie","L, G"
"Lehrer für Theologie","Lehrer, Theologie","L, G"
"Lehrer f. Theologie","Lehrer, Theologie","L, G"
"Lehrer, Theologie / Kirchengeschichte","Lehrer, Theologie / Kirchengeschichte","L, G"
"Lehrer der Theologie und Kirchengeschichte","Lehrer, Theologie / Kirchengeschichte","L, G"
"Lehrer für Theologie und Kirchengeschichte","Lehrer, Theologie / Kirchengeschichte","L, G"
"Lehrer f. Theologie und Kirchengeschichte","Lehrer, Theologie / Kirchengeschichte","L, G"
Leibarzt,Leibarzt,"M, H"
Leibwundarzt,Leibwundarzt,"M, H"
Leiter,Leiter,"je nachdem"
Lektor,Lektor,G
Lizentiat,Lizentiat,"S, R"
Logicus,Logicus,S
Militärarzt,Militärarzt,"M, Mi"
Minister,Minister,V
Ministerialbeamter,Ministerialbeamter,V
Missionar,Missionar,G
Mitglied,Mitglied,"je nachdem"
Munizipal,Munizipal,V
Mutter,Mutter,P
Notar,Notar,R
Novizenmeister,Novizenmeister,G
Offizial,Offizial,G
Offizier,Offizier,Mi
Opponent,Opponent,
Ordensmann,Ordensmann,G
Organist,Organist,G
Panegyricus,Panegyricus,"G oder P"
Pastor,Pastor,G
Pate,Pate,P
Pfarrer,Pfarrer,G
Physikus,Physikus,M
Pleban,Pleban,G
Poeta,Poeta,P
Präbendar,Präbendar,G
Praefectus advocatiae Urbis,Praefectus advocatiae Urbis,R
Praepositus,Praepositus,G
Praetor,Praetor,G
Präfekt,Präfekt,V
Praktikant,Praktikant,R
Präses,Präses,G
Präsident,Präsident,V
Prätor,Prätor,R
"Prediger","Prediger","G"
"Prediger der Gemeinde","Prediger","G"
"Evangelischer Prediger","Prediger","G"
"Katholischer Prediger","Prediger","G"
"Priester","Priester","G"
"Priester der Gemeinde","Priester","G"
"Evangelischer Priester","Priester","G"
"Katholischer Priester","Priester","G"
"Priester, Bußpriester","Priester, Bußpriester","G"
"Bußpriester","Priester, Bußpriester","G"
"Priester für Buße","Priester, Bußpriester","G"
"Priester der Buße","Priester, Bußpriester","G"
"Priester, Weltgeistlicher","Priester, Weltgeistlicher","G"
"Weltgeistlicher Priester","Priester, Weltgeistlicher","G"
"Priester des Weltlichen","Priester, Weltgeistlicher","G"
"Priester der Welt","Priester, Weltgeistlicher","G"
"Prior","Prior","G"
"Prior des Klosters","Prior","G"
