title_old,title_new
Ritter des Zivil-Verdienstordens der Bayerischen Krone / Ritterstand,@
rittermäßiger Reichsadelsstand,@
Rottermund / Rodermund,#
Titular- wirklicher Geheimer Rat,"Geheimer Rat, wirklicher, titular"
Titular wirklicher Gehermer Rat,"Geheimer Rat, wirklicher, titular"
Titular wirklicher Gehermer Rat,"Geheimer Rat, wirklicher, titular"
Titular-]Regierungsrat,"Regierungsrat, titular]"
Titular-Erzbischof von Tarsus,"Erzbischof von Tarsus, titular"
Titularregierungsrat,"Regierungsrat, titular"
Titular-Reichshofrat,"Reichshofrat,  titular"
Vorderösterreichischer Regiments- und Kammerrat,"Regimentsrat, Vorderösterreich / Kammerrat, Vorderösterreich"
