institution_old,institution_new
Dr. Linden (Lynden),"Advokatur, Dr. Linden"
Erfurter Akademie,"Akademie nützlicher Wissenschaften Erfurt"
Erfurter Bibliothek,"Boineburgische Bibliothek Erfurt"
Erfurter Staat,"Erfurter Staat"
"Erfurter Staat, Kammer zu Erfurt","Kurfürstentum Mainz, Kammer Erfurt"
"Erfurter Staat, Regierung zu Erfurt","Kurfürstentum Mainz, Regierung Erfurt"
"Erfurter Staat, Vizedomamt Erfurt","Kurfürstentum Mainz, Vizedomamt Erfurt"
"Erfurter Staat, Weltliche Gerichte","Kurfürstentum Mainz, Weltliches Gericht Erfurt"
Erfurter Staat],"Kurfürstentum, Mainz, Erfurter Staat"
"erzbischöfliche Pagerie ""Gregorianum""","Pagerie Gregorianum Salzburg"
Erzbistum Mainz,"Erzbistum Mainz"
"Erzbistum Mainz, Geistliches Gericht zu Erfurt","Erzbistum Mainz, Geistliches Gericht Erfurt"
"Erzbistum Mainz, Stift B.M.V. zu Erfurt","Kollegiatstift St. Maria Erfurt"
"Erzbistum Mainz, Stift St. Severi zu Erfurt","Kollegiatstift St. Severus Erfurt"
Erzbistum Regensburg,"Erzbistum Regensburg"
Erzbistum Regensburg?],"Erzbistum Regensburg?"
Erzbistum Regensburg],"Erzbistum Regensburg"
Evangelische Kirche,"Evangelische Kirche"
Evangelischer Rat,"Evangelisches Ministerium Erfurt"
Evangelisches Ministerium,"Evangelisches Ministerium Erfurt"
Evangelisches Ministerium],"Evangelisches Ministerium Erfurt"
Evangelisches Ratsgymnasium,"Evangelisches Ratsgymnasium"
Evangelisches Weisenhaus,"Evangelisches Weisenhaus Erfurt"
Flößholzamt,"Kurfürstentum Mainz"
Franckesches Pädagogium,"Franckesches Pädagogium Halle"
Fränkische Kreistage,"Reichskreis, Franken, Kreistag"
Fränkische Reichsritterschaft,"Reichsritterschaft, Franken"
"Fränkische Reichsritterschaft, Kanton Baunach","Reichsritterschaft, Franken, Kanton Baunach"
"Fränkische Reichsritterschaft, Kanton Odenwald","Reichsritterschaft, Franken, Kanton Odenwald"
"Fränkische Reichsritterschaft, Kanton Rhön-Werra","Reichsritterschaft, Franken Kanton Rhön-Werra"
Franz Freiherr von Fürstenberg,"Privatperson: Franz Freiherr von Fürstenberg"
Franz Konrad Graf Stadion (1679-1757),"Privatperson: Franz Konrad Graf Stadion (1679-1757)"
Freie Zeichenschule,"Freie Zeichenschule"
"Freimaurerische Provinzialloge ""Joseph zum Reichsadler""","Freimaurer, Provinzialloge ""Joseph zum Reichsadler"" Wetzlar"
"Freimaurerloge ""Joseph zu den drei Helmen""","Freimaurer, Loge ""Joseph zu den drei Helmen"" [+ Ort?]"
Freimaurerloge Joseph zu den drei Helmen,"Freimaurer, Loge ""Joseph zu den drei Helmen"" Wetzlar"
"Fürstbischof von Augsburg","Fürstbischof von Augsburg"
"Fürstbistum Bamberg, Hofgericht","Fürstbistum Bamberg, Hofgericht"
"Fürstbistum Bamberg, Hofkammer","Fürstbistum Bamberg, Hofkammer"
"Fürstbistum Bamberg, Hofkriegsrat","Fürstbistum Bamberg, Hofkriegsrat"
"Fürstbistum Bamberg, Obereinnahme","Fürstbistum Bamberg, Obereinnahme"
"Fürstbistum Bamberg, Regierung","Fürstbistum Bamberg, Regierung"
"Fürstbistum Hildesheim, Offizialatsgericht","Fürstbistum Hildesheim, Offizialatsgericht"
"Fürstbistum Münster, Landesgerichte","Fürstbistum Münster, Landesgerichte"
"Fürstbistum Münster, Untergerichte","Fürstbistum Münster, Untergerichte"
"Fürstbistum Salzburg, Pflege Mühldorf am Inn","Fürstbistum Salzburg, Pflege Mühldorf am Inn"
"Fürstbistum Würzburg, Geheime Kanzlei","Fürstbistum Würzburg, Geheime Kanzlei"
"Fürstbistum Würzburg, Juliusspital","Juliusspital Würzburg"
"Fürstbistum Würzburg, Vizedomamt in Würzburg","Fürstbistum Würzburg, Vizedomamt Würzburg"
"Fürstbistum Würzburg, weltliche Regierung","Fürstbistum Würzburg, weltliche Regierung"
Fürstentum Aschaffenburg,"Fürstentum Aschaffenburg"
Fürstentum Erfurt,"Fürstentum Erfurt"
Fürstentum Halberstadt,"Fürstentum Halberstadt"
"Fürstentum Halberstadt, Salpeterwerk","Fürstentum Halberstadt, Salpeterwerke"
"Fürstentum Nassau, Oberappellationsgericht","Fürstentum Nassau, Oberappellationsgericht Hadamar"
"Fürstprimatialischer Staat, Landesregierung","Fürstentum Regensburg, Landesregierung"
Geheime Hofkanzlei,"Kurfürstentum Mainz, Geheime Hofkanzlei"
Geheime Kabinettskonferenz,"Kurfürstentum Mainz, Geheime Kabinettskonferenz"
Geheime Staatskonferenz,"Kurfürstentum Mainz, Geheime Staatskonferenz"
Geheimes Staatskabinett,"Kurfürstentum Mainz, Geheimes Staatskabinett"
Geheimorden der Gold- und Rosenkreuzer,"Geheimorden der Gold- und Rosenkreuzer"
"gemeinschaftlich kurpfälzisch-kurbayerisches Reichsvikatiatshofgericht","Reichsvikariatshofgericht, Kurpfalz-Kurbayern"
"Generalstudienkommission zu Karlsruhe","Großherzogtum Baden, Generalstudienkommission"
"Gnädige Frauenstiftung der Evangelischen Kirche","Evangelische Kirche, Gnädige Frauenstiftung"
Graf Carl Gustab Wrangel,"Privathaus, Graf Carl Gustab Wrangel ###"
Graf Johann Ludwig zu Gleichen,"Privathaus, Graf Johann Ludwig zu Gleichen ###"
Graf Philipp Ernst zu Gleichen,"Privathaus, Graf Philipp Ernst zu Gleichen ###"
Graf Philipp Reinhard zu Solms,"Privathaus, Graf Philipp Reinhard zu Solms ###"
Graf von Gleichen,"Privathaus, Graf von Gleichen ###"
Graf von Metternich-Winneburg[-Beilstein],"Privathaus, Graf von Metternich-Winneburg-Beilstein ###"
Graf von Solms,"Privathaus, Graf von Solms ###"
Grafen von Hatzfeld,"Privathaus, Grafen von Hatzfeld ###"
Grafen von Hatzfeld-Gleichen,"Privathaus, Grafen von Hatzfeld-Gleichen ###"
Gräfin von Henneberg,"Privathaus, Gräfin von Henneberg ###"
Gräfin-Witwe Sophie von Henneberg geb. Herzogin zu Braunschweig-Lüneburg,"Privathaus, Gräfin-Witwe Sophie von Henneberg geb. Herzogin Braunschweig-Lüneburg ###"
Grafschaft,"Grafschaft Wetzlar"
Grafschaft Blankenhain,"Grafschaft Blankenhain"
Großes Hospital,"Großes Hospital Erfurt"
Großherzog von Hessen,"Großherzog von Hessen"
Großherzogtum Baden,"Großherzogtum Baden"
"Großherzogtum Baden, Departement des Innern","Großherzogtum Baden, Departement des Innern"
"Großherzogtum Baden, Generalstudienkommission","Großherzogtum Baden, Generalstudienkommission"
"Großherzogtum Baden, Hofgericht","Großherzogtum Baden, Hofgericht"
"Großherzogtum Baden, Innenministerium","Großherzogtum Baden, Innenministerium"
Großherzogtum Frankfurt,"Großherzogtum Frankfurt"
"Großherzogtum Frankfurt, Finanzministerium","Großherzogtum Frankfurt, Finanzministerium"
"Großherzogtum Frankfurt, Kassationshof","Großherzogtum Frankfurt, Kassationshof"
"Großherzogtum Frankfurt, Ministerium der Justiz, des Innern und der Polizei","Großherzogtum Frankfurt, Justiz- und Innenministerium"
"Großherzogtum Hessen, Provinz Oberhessen","Großherzogtum Hessen, Provinz Oberhessen"
Gymnasium,"Gymnasium ###"
Gymnasium Bonn,"Gymnasium Bonn"
Gymnasium Gotha,"Gymnasium Gotha"
Gymnasium Montanum,"Gymnasium Montanum Köln"
Gymnasium Tricoronatum,"Gymnasium Tricoronatum Köln"
Gymnasium zu Gotha,"Gymnasium  Gotha"
Gynmasium,"Gymnasium"
Hardt'sche Stiftung,"Hardt'sche Stiftung"
Heiliges Römisches Reich,"Heiliges Römisches Reich"
Herzog von Sachsen-Eisenach,"Herzog von Sachsen-Eisenach"
Herzog von Württemberg,"Herzog von Württemberg"
herzoglich braunschweigischer Hof,"Herzogtum Braunschweig, Hof"
Herzogtum Magdeburg,"Herzogtum Magdeburg"
"Hessen-Braubach, Landgraf Johannes","Hessen-Braubach, Landgraf Johannes"
Hildesheimische Republik ?],"Hildesheimische Republik ?"
Hofgericht,"Hofgericht"
Hofrats- und Landesregierungskollegium,"Hofrats- und Landesregierungskollegium"
Illuminatenorden,"Illuminatenorden"
"Illuminatenorden, Loge ""Johannes zur brüderlichen Liebe""","Illuminatenorden, Loge ""Johannes zur brüderlichen Liebe"""
"Illuminatenorden, Loge ""Karl zu den drei Rädern""","Illuminatenorden, Loge ""Karl zu den drei Rädern"""
"Illuminatenorden, Mainz und Rheinpfalz","Illuminatenorden, Mainz und Rheinpfalz"
"Illuminatenorden, Niederlassung in Wetzlar namens Sebaste","Illuminatenorden, Wetzlar, ""Sebaste"""
Jagstkreis,"Jagstkreis"
Jesuitengymna,"Jesuitengymnasium ###"
Jesuitengymnasium Koblenz,"Jesuitengymnasium Koblenz"
Jesuitengymnasium Wetzlar,"Jesuitengymnasium Wetzlar"
Jesuitengymnasium zu Heiligenstadt,"Jesuitengymnasium Heiligenstadt"
Jesuitenkolleg,"Jesuitenkolleg ###"
Jesuitenkolleg zu Erfurt,"Jesuitenkolleg Erfurt"
Jesuitenschule,"Jesuitengymnasium ###"
Jesuitenseminar,"Jesuitenseminar ###"
Johann Stephan Pütter,"Privatperson: Johann Stephan Pütter"
