function_old
(Titular-) Geheimer Rat
(Titular-)Geheimer Rat
(Titular-)Regierungsrat
?
@
[?]
Ab seiten der churfürstlichen Regierung
Abgeordneter
Abt
Actuarius
kurpfalzbayerischer adeliger Hofrat
kurpfalzbayerischer adeliger Oberlandesregierungsrat
Adjudant
Adjunkt
adliger Hof- und Regierungsrat
Administrator
Advocat
Advocatus ordinarius
Advokat
Aktuar
Akzisekommissar
Altbürgermeister
Älterer Bürgermeister
Ältester
Ältester Beisitzer der Juristenfakultät
Ältester Bürgermeister
Alumnus
Amanuensis
Amtmann
kurmainzischer Amtmann
Amtmann
Amtsadministrator
Amtsrichter
Amtsschösser
Amtsschultheiß
Amtsvogt
Anderer Ratsmeister
Anwalt
Archivar
Archivrat
Arzt
Asessor
Assessor
Assessor ("Steuerdeputierter")
Assessores
Assessor (Supernumerar)
Assessor Primarius
Assessor Senior
Assessor
Assessor honorarius
Assessores Honorarii.
Assessor beim Stadtgericht
Assessores und Professores
Assessor]
Assessor-Adjunkt
Assessores Referendarii. Ordinarii.
Assesssor
Auditor
Aufnahme
außerordentlicher bevollmächtigter Gesandter am königlich sächsischen Hof in Dresden
außerordentlicher Gesandter und bevollmächtigter Minister Österreichs
Auszubildender
Bacc. phil.
Bankier
Beisitzer
erster und ältester Beisitzer
Beisitzer bei den erzbischöflichen geistlichen Gerichten
Beisitzer der erzbischöflichen Gerichte
Beisitzer bei den kurfürstlichen weltlichen Gerichten
Beisitzer Senior
Beisitzer der weltlichen Gerichte
Bergdirektor
Bergdirektor, gewerkschaftlicher
Bergkommissar
Bergwerkskommissar für Erfurt und Blankenhain
bevollmächtigter Gesandter Bayerns
kurmainzischer bevollmächtigter Minister am kaiserlichen Hof in Wien
österreichischer bevollmächtigter Minister
Bibliothekar
Biereige
Bischof
Brautvater
Brückenherr
Buchhalter
Bürger
Bürgermeister
jüngster Bürgermeister
Burgmann
cand. iur
Canonicum a latere
Chorbischof
Chorherr
consiliarius intimus
Dechant
Decanus
Dekan
Deputirter
Deutschordensritter
Diaconus
Diakon
Diplomat
Direktor
Direktor des Marschwesens
kurüfrstlich salzburgischer Direktor
Direktorialgesandter
schwäbischer Direktorial-Kreisgesandter
Doktorand
Domdechant
Domherr
Domicellarherren
Domizellar
Domizellar / Kapitularherr
Domizellar / Kapitularherr
Domizellarkanoniker
Domkantor
Domkapitular (nicht spezifiziert)
Domkapitular]
Domprobst
Domprobsteiamtmann
Domprobsteikonsulent
Domscholaster
Domstiftssyndikus
Domstifts-Syndikus und -konsekretär
Domstifts-Syndikus und -konsekretär
Domstiftssyndikus und Konsekretär
Übrige Universitätsdoctores
Dragoneroffizier
Dritter Ratsmeister
dritter kurböhmischer Wahlbotschafter
Edelknabe
Ehefrau
Ehemann
Ehren-)Bürger
Ehrenmitglied
Ephorus
ernannter außerordentlicher bevollmächtigter Gesandter am königlich preußischen Hof in Berlin
Erster Assessor
erster dirigierender Staatsminister im kurerzkanzlerischen Staat
erster Minister, kurmainzischer
Erster Syndikus
Erzbischof
Erzieher
Erzkanzler
Exdekan
Expektant auf Reichskammergerichtspräsentation des österreichischen Kreises
Exspektant auf habsburgische Reichskammergerichtspräsentation
Exspektant auf nächstvakante habsburgische Reichskammergerichtspräsentation
Fabrikant
Fähnrich
Feldbuchhalter
Feldkriegskommissar
Finanzminister
Finanzrat
Fleischermeister
Förster
Forstkommissar
Fürst
Fürstbischof
fürstbischöflich augsburgischer Hofrat
Fürstbistum Bamberg [Geheimer?] Referendar
Fürstbistum Bamberg Geheimer Rat
Fürstbistum Bamberg Hofgerichtsassessor
Fürstbistum Bamberg Hofrat
Fürstbistum Bamberg Konsulent
Fürstbistum Bamberg Prokurator Fisci
Fürstbistum Bamberg Resident am päpstlichen Hof in Rom mit dem Charakter eines Hofrats
Fürstbistum Bamberg wirklicher gelehrter Hof- und Regierungsrat
Fürstbistum Bamberg wirklicher Hofkriegsrat
fürstbischöflich eichstättischer Kammerherr
fürstbischöflich freisingischer bevollmächtigter Minister
fürstbischöflich konstanzischer Geheimer Rt
fürstbischöflich konstanzischer Kanzler
Fürstbistum Paderborn Geheimer Referendar
Fürstbistum Paderborn Kanzler
Fürstbistum Paderborn Lehedirektor
Fürstbistum Paderborn Vizekanzler
Fürstbistum Paderborn wirklicher Geheimer Rat
Fürstbistum Paderborn wirklicher Hofrat
Fürstbistum Salzburg Kämmerer
Fürstbistum Salzburg Pfleger
Fürstbistum Salzburg wirklicher adliger Hofrat
Fürstbistum Salzburg wirklicher Geheimer Rat
Fürstbistum Speyer Geheimer Rat
Fürstbistum Speyer Geheimer Sekretär
Fürstbistum Speyer Hof- und Regierungsrat
Fürstbistum Speyer Hofkammerdirektor
Fürstbistum Speyer Hofrat
Fürstbistum Worms Direktorialgesandter
Fürstbistum Worms wirklicher Geheimer Rat
Fürstbistum Worms wirklicher Geheimer Referendar
Fürstbistum Würzburg adliger Hofrat
Fürstbistum Würzburg Assessor
Fürstbistum Würzburg Fähnrich
Fürstbistum Würzburg Geheimer Referendar
Fürstbistum Würzburg gelehrter Hof- und Regierungsrat
Fürstbistum Würzburg Hochstiftssyndikus
Fürstbistum Würzburg Hof- und Regierungsrat
Fürstbistum Würzburg Hofkammerfiskal
Fürstbistum Würzburg Hofkavalier
Fürstbistum Würzburg Hofrat auf der gelehrten Bank
Fürstbistum Würzburg Hofrat mit Sitz und Stimme
Fürstbistum Würzburg Kämmerer
Fürstbistum Würzburg Kammerherr
Fürstbistum Würzburg Leutnant
Fürstbistum Augsburg Geheimer Rat
Fürstbistum Augsburg Gesandter beim schwäbischen Reichskreis
Fürstbistum Augsburg Hofrat
Fürstbistum Augsburg Referendar in Spiritualibus
fürstbischöflich-hildesheimischer Assessor
fürstbischöflich-hildesheimischer Geheimer Hof- und Regierungsrat
fürstbischöflich-hildesheimischer Hof- und Regierungsrat
fürstbischöflich-hildesheimischer Lehenprobst
fürstbischöflich-hildesheimischer Referendar
fürstbischöflich-hildesheimischer wirklicher Hof- und Regierungsrat
fürstbischöflich-wormsischer Hof- und Regierungsrat
fürstbischöflich-wormsischer Reichstagsgesandter
fürstbischöflich-würzburgischer Konsulent
fürstbischöflich-würzburgischer Regierungs- und Hofratssekretär
fürstbischöflich-würzburgischer Registrator
