place_old;place_new;comment_fs;suffix;community;region_1;region_2;continent;variant_1;variant_2;variant_3;Source
Alzey;Alzey;;;;;;Europe;;;;ProfAPI
Alzeyanus;Alzeyanus;;;;;;Europe;;;;Universitätsmatrikeln
Alzeyensis;Alzey;;;;;;Europe;;;;Universitätsmatrikeln
Amaeneburgensis;Amaeneburg;;;;;;Europe;;;;Universitätsmatrikeln
Amancianus;Amanc;FS: in Frankreich?;;;;;Europe;;;;Universitätsmatrikeln
Amariensis;Amari;FS: in Frankreich?;;;;;Europe;;;;Universitätsmatrikeln
Amberg;Amberg;;;;;;Europe;;;;ProfAPI
Ambstelodamensis;Ambstelodam;;;;;;Europe;;;;Universitätsmatrikeln
Amelburg - Amöneburg;Amelburg - Amöneburg;;;;;;Europe;;;;Topographia1646
Amelburgensis;Amelburg;;;;;;Europe;;;;Universitätsmatrikeln
Amerbach;Amerbach;;;;;;Europe;;;;HassiaSuperior
Amoenburgensis;Amoenburg;;;;;;Europe;;;;Universitätsmatrikeln
Amoeneburg;Amoeneburg;;;;;;Europe;;;;Universitätsmatrikeln
Amoeneburgensis;Amoeneburg;;;;;;Europe;;;;Universitätsmatrikeln
Amöneburg;Amöneburg;;;;;;Europe;;;;ProfAPI
Amöneburg in Hessen;Amöneburg, Hessen;;;;Hessen;;Europe;;;;ProfAPI
Amorbacensis;Amorbach;;;;;;Europe;;;;Universitätsmatrikeln
Amorbach;Amorbach;;;;;;Europe;;;;ProfAPI
Amorfortensis;Amorfort;;;;;;Europe;;;;Universitätsmatrikeln
Amorfortius;Amorfortius;;;;;;Europe;;;;Universitätsmatrikeln
Amsterdam;Amsterdam;;;;;;Europe;;;;Universitätsmatrikeln
Andernacensis;Andernach;;;;;;Europe;;;;Universitätsmatrikeln
Andernach;Andernach;;;;;;Europe;;;;Universitätsmatrikeln
Andernach ;Andernach ;;;;;;Europe;;;;HassiaSuperior
Andrimontanus;Andrimont;;;;;;Europe;;;;Universitätsmatrikeln
Anglus;Anglus;;;;;;Europe;;;;Universitätsmatrikeln
Ansbacensis;Ansbach;;;;;;Europe;;;;Universitätsmatrikeln
Ansbach;Ansbach;;;;;;Europe;;;;ProfAPI
Anspacensis;Ansbach;;;;;;Europe;;;;Universitätsmatrikeln
Antenacensis;Antenach;;;;;;Europe;;;;Universitätsmatrikeln
Antzefariensis;Antzefari;;;;;;Europe;;;;Universitätsmatrikeln
Anzefahr;Anzefahr;;;;;;Europe;;;;Universitätsmatrikeln
Anzefahriensis;Anzefahri;;;;;;Europe;;;;Universitätsmatrikeln
Anzevariensis;Anzevari;;;;;;Europe;;;;Universitätsmatrikeln
Apfelbacensis;Apfelbach;;;;;;Europe;;;;Universitätsmatrikeln
Aquensis;Aqu;;;;;;Europe;;;;Universitätsmatrikeln
Aquisgr;Aquisgr;;;;;;Europe;;;;Universitätsmatrikeln
Aquisgran;Aquisgran;;;;;;Europe;;;;Universitätsmatrikeln
Aquisgranensis;Aquisgran;;;;;;Europe;;;;Universitätsmatrikeln
Aquisgraniensis;Aquisgrani;;;;;;Europe;;;;Universitätsmatrikeln
Araelunensis;Araelun;;;;;;Europe;;;;Universitätsmatrikeln
Arausica-Nassovicus;Arausica-Nassovicus;;;;;;Europe;;;;Universitätsmatrikeln
ARCHIEPISCOPATU;ARCHIEPISCOPATU;;;;;;Europe;;;;HassiaSuperior
Arenfeldianus;Arenfeld;;;;;;Europe;;;;Universitätsmatrikeln
Arensbergensis;Arensberg;;;;;;Europe;;;;Universitätsmatrikeln
Arenshusanus;Arenshusanus;;;;;;Europe;;;;Universitätsmatrikeln
Argenschwang;Argenschwang;;;;;;Europe;;;;Universitätsmatrikeln
Argenthal;Argenthal;;;;;;Europe;;;;Universitätsmatrikeln
Argentinensis;Argentin;;;;;;Europe;;;;Universitätsmatrikeln
Argentorat;Argentorat;;;;;;Europe;;;;Universitätsmatrikeln
Argentoratensis;Argentorat;;;;;;Europe;;;;Universitätsmatrikeln
Argetinas;Argetinas;;;;;;Europe;;;;Universitätsmatrikeln
Arienschwang;Arienschwang;;;;;;Europe;;;;Universitätsmatrikeln
Arienschwangensis;Arienschwang;;;;;;Europe;;;;Universitätsmatrikeln
Arlunensis;Arlun;;;;;;Europe;;;;Universitätsmatrikeln
Arnburg;Arnburg;;;;;;Europe;;;;HassiaSuperior
Arnburgensis;Arnburg;;;;;;Europe;;;;Universitätsmatrikeln
Arnheim;Arnheim;;;;;;Europe;;;;Universitätsmatrikeln
Arnsberg;Arnsberg, Westfalen;;;;Herzogtum Westfalen;;Europe;;;;ProfAPI
Arnsbergensis;Arnsberg;;;;;;Europe;;;;Universitätsmatrikeln
Arnsburgensis;Arnsburg;;;;;;Europe;;;;Universitätsmatrikeln
Arnsheim;Arnsheim;;;;;;Europe;;;;HassiaSuperior
Arnshusanus;Arnshusanus;;;;;;Europe;;;;Universitätsmatrikeln
Arnstadt;Arnstadt;;;;;;Europe;;;;ProfAPI
Arnstadt, Gut bei;Arnstadt;FS: so OK?;;;;;Europe;;;;ProfAPI
Arnstadt, Rittergut bei;Arnstadt;FS: so OK?;;;;;Europe;;;;ProfAPI
Arnstein;Arnstein;;;;;;Europe;;;;Universitätsmatrikeln
Arnstein ;Arnstein ;;;;;;Europe;;;;HassiaSuperior
Arolsen;Arolsen;;;;;;Europe;;;;Universitätsmatrikeln
Arrenspurgensis;Arrenspurg;;;;;;Europe;;;;Universitätsmatrikeln
Arspacensis;Arspach;;;;;;Europe;;;;Universitätsmatrikeln
Artzfeldensis;Artzfeld;;;;;;Europe;;;;Universitätsmatrikeln
Arzfeld;Arzfeld;;;;;;Europe;;;;Universitätsmatrikeln
Aschaf;Aschaffenburg;;;;;;Europe;;;;Universitätsmatrikeln
Aschaff;Aschaffenburg;;;;;;Europe;;;;Universitätsmatrikeln
Aschaffenbugensis;Aschaffenburg;;;;;;Europe;;;;Universitätsmatrikeln
Aschaffenburg;Aschaffenburg;;;;;;Europe;;;;ProfAPI
Aschaffenburgens;Aschaffenburg;;;;;;Europe;;;;Universitätsmatrikeln
Aschaffenburgensis;Aschaffenburg;;;;;;Europe;;;;Universitätsmatrikeln
Aschaffengurgensis;Aschaffenburg;;;;;;Europe;;;;Universitätsmatrikeln
Asperavallanus;Asperavall;FS: prüfen?;;;;;Europe;;;;Universitätsmatrikeln
Asperavallensis;Asperavall;;;;;;Europe;;;;Universitätsmatrikeln
Aspera-Vallensis;Aspera-Vall;;;;;;Europe;;;;Universitätsmatrikeln
Asperavillanus;Asperavillanus;;;;;;Europe;;;;Universitätsmatrikeln
Asperovallensis;Asperovall;;;;;;Europe;;;;Universitätsmatrikeln
Assenheim;Assenheim;;;;;;Europe;;;;HassiaSuperior
Aßmannshausen;Aßmannshausen;;;;;;Europe;;;;Universitätsmatrikeln
Aßmannstadianus;Aßmannstad;;;;;;Europe;;;;Universitätsmatrikeln
Astheimensis;Astheim;;;;;;Europe;;;;Universitätsmatrikeln
Astmanhusanus;Astmanhusanus;;;;;;Europe;;;;Universitätsmatrikeln
Atlanticus;Atlantik;FS: ist das Code für jemand aus West-Frankreich?;;;;;Europe;;;;Universitätsmatrikeln
Attendoria-Westphalus;Attendoria-Westphalus;;;;;;Europe;;;;Universitätsmatrikeln
Attendoriensis;Attendorf;FS: prüfen?;;;;;Europe;;;;Universitätsmatrikeln
Attendorn;Attendorn;;;;;;Europe;;;;Universitätsmatrikeln
Attendorn (Westfalen);Attendorn;;;; Westfalen;;Europe;;;;ProfAPI
Attendorn/Westfalen;Attendorn, Westfalen;;;;;;Europe;;;;Universitätsmatrikeln
Attendorn/Westph;Attendorn, Westfalen;;;;;;Europe;;;;Universitätsmatrikeln
Attendornensis;Attendorn;;;;;;Europe;;;;Universitätsmatrikeln
Attendorniensis;Attendorn;;;;;;Europe;;;;Universitätsmatrikeln
Aub;Aub;;;;;;Europe;;;;Universitätsmatrikeln
Aubacensis;Aubach;;;;;;Europe;;;;Universitätsmatrikeln
Aubelensis;Aubel;;;;;;Europe;;;;Universitätsmatrikeln
Aubelius/Limburgensis;Aubelius, Limburg;;;;;;Europe;;;;Universitätsmatrikeln
Aubulensis;Aubul;;;;;;Europe;;;;Universitätsmatrikeln
Auerbach;Auerbach;;;;;;Europe;;;;Universitätsmatrikeln
Auersmachernensis;Auersmachern;;;;;;Europe;;;;Universitätsmatrikeln
Auerstedt;Auerstedt;;;;;;Europe;;;;ProfAPI
Aufenau;Aufenau;;;;;;Europe;;;;HassiaSuperior
Auffenau;Aufenau;;;;;;Europe;;;;Universitätsmatrikeln
Augsburg;Augsburg;;;;;;Europe;;;;ProfAPI
Augsburg, kaiserlicher Hof;Augsburg;FS: so OK?;;;;;Europe;;;;ProfAPI
Augsburgensis;Augsburg;;;;;;Europe;;;;Universitätsmatrikeln
Augustanus;Augsburg;;;;;;Europe;;;;Universitätsmatrikeln
Aulenbacensis;Aulenbach;;;;;;Europe;;;;Universitätsmatrikeln
Aulenbach;Aulenbach;;;;;;Europe;;;;Universitätsmatrikeln
Aulhusanus;Aulhusanus;;;;;;Europe;;;;Universitätsmatrikeln
Aunensis;Aun;;;;;;Europe;;;;Universitätsmatrikeln
Aupensis;Aup;;;;;;Europe;;;;Universitätsmatrikeln
Aura/Franken;Aura, Franken;;;;;;Europe;;;;Universitätsmatrikeln
Aurheim;Aurheim;;;;;;Europe;;;;HassiaSuperior
Austrasiensis;Austrasi;;;;;;Europe;;;;Universitätsmatrikeln
Austriensis;Austri;;;;;;Europe;;;;Universitätsmatrikeln
AW.];AW.];;;;;;Europe;;;;HassiaSuperior
Ayleringensis;Aylering;;;;;;Europe;;;;Universitätsmatrikeln
Aylrigensis;Aylrig;;;;;;Europe;;;;Universitätsmatrikeln
Azmannsdorf;Azmannsdorf;;;;;;Europe;;;;ProfAPI
Babenhausen;Babenhausen;;;;;;Europe;;;;Universitätsmatrikeln
Baccaracensis;Bacharach;;;;;;Europe;;;;Universitätsmatrikeln
Baccharacensis;Bacharach;;;;;;Europe;;;;Universitätsmatrikeln
Bacharacensis;Bacharach;;;;;;Europe;;;;Universitätsmatrikeln
Bacharach;Bacharach;;;;;;Europe;;;;Universitätsmatrikeln
Bacheracensis;Bacharach;;;;;;Europe;;;;Universitätsmatrikeln
Bad Camberg;Bad Camberg;;;;;;Europe;Kamberg;;;G / 1729 Dezember 6
Bad Deutsch-Altenburg;Bad Deutsch-Altenburg;;;;;;Europe;Deutsch-Altenburg;;;G / 1695 November 27
Bad Frankenhausen (Kyffhäuser);Bad Frankenhausen, Kyffhäuser;;;;;;Europe;;;;ProfAPI
Bad Lippspringe;Bad Lippspringe;;;;;;Europe;;;;ProfAPI
Bad Mergentheim;Bad Mergentheim;;;;;;Europe;;;;ProfAPI
Bad Soden (Kinzigtal);Bad Soden, Kinzigtal;;;;;;Europe;"Soden;Soda";;;G / 1716 September 15
Bad Wimpfen;Bad Wimpfen;;;;;;Europe;;;;ProfAPI
Baden;Baden;;;;;;Europe;;;;ProfAPI
Baden-Baden;Baden-Baden;;;;;;Europe;;;;ProfAPI
Badensis;Herzogtum Baden;;;;;;Europe;;;;Universitätsmatrikeln
Baierbach;Baierbach;;;;;;Europe;;;;Universitätsmatrikeln
Balderanus;Balderanus;;;;;;Europe;;;;Universitätsmatrikeln
Balduinstein;Balduinstein;;;;;;Europe;;;;Universitätsmatrikeln
Ballei Franken;Ballei Franken;;;;;;Europe;;;;ProfAPI
Ballenberg;Ballenberg;;;;;;Europe;;;;Universitätsmatrikeln
Ballenbergensis;Ballenberg;;;;;;Europe;;;;Universitätsmatrikeln
Bamberg;Bamberg;;;;;;Europe;;;;ProfAPI
Bamberg ?];Bamberg ?];;;;;;Europe;;;;ProfAPI
Bambergensis;Bamberg;;;;;;Europe;;;;Universitätsmatrikeln
Barensis;Bar;;;;;;Europe;;;;Universitätsmatrikeln
Bartenstein;Bartenstein;;;;;;Europe;;;;Universitätsmatrikeln
Barthloffensis;Barthloff;;;;;;Europe;;;;Universitätsmatrikeln
Bartloff;Bartloff;;;;;;Europe;;;;Universitätsmatrikeln
Basel;Basel;;;;;;Europe;;;;ProfAPI
Bassenheimensis;Bassenheim;;;;;;Europe;;;;Universitätsmatrikeln
Battenburg;Battenburg;;;;;;Europe;;;;HassiaSuperior
Bauerbacensis;Bauerbac;;;;;;Europe;;;;Universitätsmatrikeln
Bautersan;Bautersan;;;;;;Europe;;;;Universitätsmatrikeln
Bavaro-Moeringenus;Bavaro-Moeringenus;;;;;;Europe;;;;Universitätsmatrikeln
Bavarus;Bavarus;;;;;;Europe;;;;Universitätsmatrikeln
Bayreuth;Bayreuth;;;;;;Europe;;;;ProfAPI
Bayrisch Hof;Bayrisch Hof;;;;;;Europe;"Stadtamhof;Stadt am Hof";;;Bavariae (Homann 1752)
Beberstadt;Beberstadt;;;;;;Europe;;;;Universitätsmatrikeln
Bechemensis;Bechem;;;;;;Europe;;;;Universitätsmatrikeln
Beck;Beck;;;;;;Europe;;;;Universitätsmatrikeln
Beckrichensis;Beckrich;;;;;;Europe;;;;Universitätsmatrikeln
Becksbachensis;Becksbach;;;;;;Europe;;;;Universitätsmatrikeln
Bedbur;Bedbur;;;;;;Europe;;;;Universitätsmatrikeln
Bedickhemensis;Bedickhem;;;;;;Europe;;;;Universitätsmatrikeln
Beeck;Beeck;;;;;;Europe;;;;Universitätsmatrikeln
Beeskedorffensis;Beeskedorff;;;;;;Europe;;;;Universitätsmatrikeln
Beghden;Beghden;;;;;;Europe;;;;Universitätsmatrikeln
Beilstein;Beilstein, Cochem-Zell;;;;;;Europe;;;;Universitätsmatrikeln
Beilstein (Landkreis Cochem-Zell);Beilstein, Cochem-Zell;;;;Landkreis Cochem-Zell;;Europe;;;;ProfAPI
Beilstein/Mosel;Beilstein, Mosel;;;;;;Europe;;;;Universitätsmatrikeln
Beimberg;Beimberg;;;;;;Europe;;;;Universitätsmatrikeln
Beindersheim;Beindersheim;;;;;;Europe;;;;Universitätsmatrikeln
Belderen;Belderen;;;;;;Europe;;;;Universitätsmatrikeln
Belecensis/Westf;Belec, Westf;;;;;;Europe;;;;Universitätsmatrikeln
Belfortensis;Belfort;;;;;;Europe;;;;Universitätsmatrikeln
Belfortiensis;Belforti;;;;;;Europe;;;;Universitätsmatrikeln
Belidenstatt ;Belidenstatt ;;;;;;Europe;;;;HassiaSuperior
Bellerich;Bellerich;;;;;;Europe;;;;Universitätsmatrikeln
Bellicensis;Bellic;;;;;;Europe;;;;Universitätsmatrikeln
Bellingensis;Belling;;;;;;Europe;;;;Universitätsmatrikeln
Ben;Ben;;;;;;Europe;;;;Universitätsmatrikeln
Bendorff;Bendorff;;;;;;Europe;;;;Universitätsmatrikeln
Benediktiner;Benediktiner;;;;;;Europe;;;;Universitätsmatrikeln
Benheimensis;Benheim;;;;;;Europe;;;;Universitätsmatrikeln
Bennweier;Bennweier;;;;;;Europe;;;;Universitätsmatrikeln
Bennweiler (heute:Bennwihr);Bennweiler;;;; Bennwihr;;Europe;;;;ProfAPI
Benrath;Benrath;;;;;;Europe;;;;Universitätsmatrikeln
Bensheim;Bensheim;;;;;;Europe;;;;ProfAPI
Bensheimensis;Bensheim;;;;;;Europe;;;;Universitätsmatrikeln
Benshelmensis;Bensheim;;;;;;Europe;;;;Universitätsmatrikeln
Benstatt;Benstatt;;;;;;Europe;;;;HassiaSuperior
Bentheim;Bentheim;;;;;;Europe;;;;ProfAPI
