place_old;place_new;comment_fs;suffix;community;region_1;region_2;continent;variant_1;variant_2;variant_3;Source
Erfortiensis;Erfurt;;;;;;Europe;;;;Universitätsmatrikeln
Erfuft;Erfurt;;;;;;Europe;;;;ProfAPI
Erfurdianus;Erfurt;;;;;;Europe;;;;Universitätsmatrikeln
Erfurdiensis;Erfurt;;;;;;Europe;;;;Universitätsmatrikeln
Erfurrt;Erfurt;;;;;;Europe;;;;ProfAPI
Erfurt;Erfurt;;;;;;Europe;;;;ProfAPI
Erfurt ?];Erfurt ?];;;;;;Europe;;;;ProfAPI
Erfurt [?];Erfurt [?];;;;;;Europe;;;;
Erfurt, Allerheiligen;Erfurt, Allerheiligen;;;;;;Europe;;;;ProfAPI
Erfurt, Allerheiligenkirche;Erfurt, Allerheiligenkirche;;;;;;Europe;;;;ProfAPI
Erfurt, Augustinerkirche;Erfurt, Augustinerkirche;;;;;;Europe;;;;ProfAPI
Erfurt, Barfüßerkirche;Erfurt, Barfüßerkirche;;;;;;Europe;;;;ProfAPI
Erfurt, Cyriaxburg;Erfurt, Cyriaxburg;;;;;;Europe;;;;ProfAPI
Erfurt, Dom;Erfurt, Dom;;;;;;Europe;;;;ProfAPI
Erfurt, Kaufmannskirch;Erfurt, Kaufmannskirch;;;;;;Europe;;;;ProfAPI
Erfurt, Kaufmannskirche;Erfurt, Kaufmannskirche;;;;;;Europe;;;;ProfAPI
Erfurt, Maria-Magdalena-Kapelle;Erfurt, Maria-Magdalena-Kapelle;;;;;;Europe;;;;ProfAPI
Erfurt, Michaeliskirche;Erfurt, Michaeliskirche;;;;;;Europe;;;;ProfAPI
Erfurt, Omnium Sanctorum, bei der Allerheiligenkirche;Erfurt, Omnium Sanctorum, bei der Allerheiligenkirche;;;;;;Europe;;;;ProfAPI
Erfurt, Petersberg;Erfurt, Petersberg;;;;;;Europe;;;;ProfAPI
Erfurt, Predigerkirche;Erfurt, Predigerkirche;;;;;;Europe;;;;ProfAPI
Erfurt, Reglerkirche;Erfurt, Reglerkirche;;;;;;Europe;;;;ProfAPI
Erfurt, Severikirche;Erfurt, Severikirche;;;;;;Europe;;;;ProfAPI
Erfurt, St. Wigberti-Kirche;Erfurt, St. Wigberti-Kirche;;;;;;Europe;;;;ProfAPI
Erfurt, Wigbertikirche;Erfurt, Wigbertikirche;;;;;;Europe;;;;ProfAPI
Erfurt, Wipertikirchhof;Erfurt, Wipertikirchhof;;;;;;Europe;;;;ProfAPI
Erfurt, zur hohen Lilie am Domplatz;Erfurt;Solche Differenzierungen habe ich nur anfangs in wenigen Einzelfällen miterfasst, später nicht mehr .Sie im Datensatz zu behalten, würde m.E. verzerrend wirken.;;;;;Europe;;;;Jahns/Erfurt
Erfurt, zur kleinen Engelsburg;Erfurt;Solche Differenzierungen habe ich nur anfangs in wenigen Einzelfällen miterfasst, später nicht mehr .Sie im Datensatz zu behalten, würde m.E. verzerrend wirken.;;;;;Europe;;;;
Erfurt?];Erfurt?];Ableitung von Ortsnamen;;;;;Europe;;;;ProfAPI
Erfurt];Erfurt];Ableitung von Ortsnamen;;;;;Europe;;;;ProfAPI
Erfurtensis;Erfurt;;;;;;Europe;;;;Universitätsmatrikeln
Erfurthusanus;Erfurt;;;;;;Europe;;;;Universitätsmatrikeln
Erfurtiensis;Erfurt;;;;;;Europe;;;;Universitätsmatrikeln
Erfurtshusanus;Erfurt;;;;;;Europe;;;;Universitätsmatrikeln
Ericensis;Erfurt;;;;;;Europe;;;;Universitätsmatrikeln
Erlangen;Erlangen;;;;;;Europe;;;;ProfAPI
Erlbach;Erlbach;;;;;;Europe;;;;HassiaSuperior
Erlebacensis;Erlbach;;;;;;Europe;;;;Universitätsmatrikeln
Erlenbacensis;Erlenbach;;;;;;Europe;;;;Universitätsmatrikeln
Erlenbach;Erlenbach;;;;;;Europe;;;;Universitätsmatrikeln
Erlenbach (Zürich);Erlenbach, Zürich;;;;;;Europe;;;;ProfAPI
Erlenbach (Zürich);Erlenbach, Zürich;Wenn einmal identifiziert ist die Zusatzinfo verzichtbar.;;;;;Europe;;;;Jahns/Erfurt
Ernstein;Ernstein;;;;;;Europe;;;;HassiaSuperior
Ernstensis;Ernst;;;;;;Europe;;;;Universitätsmatrikeln
Ernstkirchensis;Ernstkirch;;;;;;Europe;;;;Universitätsmatrikeln
Erufrt, Michaeliskirche;Erfurt, Michaeliskirche;;;;;;Europe;;;;ProfAPI
Ervingensis;Erving;;;;;;Europe;;;;Universitätsmatrikeln
Erzhausen/Eichsf;Erzhausen, Eichsfeld;;;;;;Europe;;;;Universitätsmatrikeln
Eschbacensis;Eschbach;;;;;;Europe;;;;Universitätsmatrikeln
Eschenbachensis;Eschenbach;;;;;;Europe;;;;Universitätsmatrikeln
Eschoffen;Eschoffen;;;;;;Europe;;;;Universitätsmatrikeln
Eschwege;Eschwege;;;;;;Europe;;;;ProfAPI
Eschweilensis;Eschweil;;;;;;Europe;;;;Universitätsmatrikeln
Esplingerodensis;Esplingerod;;;;;;Europe;;;;Universitätsmatrikeln
Essen;Essen;;;;;;Europe;;;;ProfAPI
Essendiensis;Essendi;;;;;;Europe;;;;Universitätsmatrikeln
Eßerath;Eßerath;;;;;;Europe;;;;Universitätsmatrikeln
Essingensis;Essing;;;;;;Europe;;;;Universitätsmatrikeln
Esslingen;Esslingen am Neckar;;;;;;Europe;;;;ProfAPI
Esslingen am Neckar;Esslingen am Neckar;;;;;;Europe;;;;ProfAPI
Eßlingeroda;Eßlingerode;;;;;;Europe;;;;Universitätsmatrikeln
Etlinganus;Etlinganus;;;;;;Europe;;;;Universitätsmatrikeln
Ettelbruck;Ettelbruck;;;;;;Europe;;;;Universitätsmatrikeln
Ettenheimensis;Ettenheim;;;;;;Europe;;;;Universitätsmatrikeln
Ettersheimensis;Ettersheim;;;;;;Europe;;;;Universitätsmatrikeln
Ettingshausen;Ettingshausen;;;;;;Europe;;;;Universitätsmatrikeln
Ettlinganus;Ettlinganus;;;;;;Europe;;;;Universitätsmatrikeln
Ettlingen;Ettlingen;;;;;;Europe;;;;Universitätsmatrikeln
Ettlingensis;Ettling;;;;;;Europe;;;;Universitätsmatrikeln
Eubingensis;Eubing;;;;;;Europe;;;;Universitätsmatrikeln
Europa (u.a. Frankreich, Italien);Europa,  u.a. Frankreich, Italien;;;;;;Europe;;;;ProfAPI
Europa (u.a. Frankreich, Italien);Europa (u.a. Frankreich, Italien);Wie sinnvoll sind Ortsbezüge auf dieser Ebene für uns?;;;;;Europe;;;;
Eusingen;Eusingen;;;;;;Europe;;;;HassiaSuperior
Eversbergensis;Eversberg;;;;;;Europe;;;;Universitätsmatrikeln
Evicensi;Evicensi;;;;;;Europe;;;;Universitätsmatrikeln
Eybing;Eybing;;;;;;Europe;;;;Universitätsmatrikeln
Eybingensis;Eybing;;;;;;Europe;;;;Universitätsmatrikeln
Eyndhoviensis;Eyndhovi;;;;;;Europe;;;;Universitätsmatrikeln
Eyssenbacensis;Eyssenbac;;;;;;Europe;;;;Universitätsmatrikeln
Falckensteinensis;Falckenstein;;;;;;Europe;;;;Universitätsmatrikeln
Falcomontanus;Falcomontanus;;;;;;Europe;;;;Universitätsmatrikeln
Fanckel;Fanckel;;;;;;Europe;;;;Universitätsmatrikeln
Fechenbacensis;Fechenbac;;;;;;Europe;;;;Universitätsmatrikeln
Fechenbach (Collenberg);Fechenbach,  Collenberg;;;;;;Europe;Feschenbach;;;G / 1736 Mai 19
Feldkahl;Feldkahl;;;;;;Europe;;;;Universitätsmatrikeln
Feldkirch;Feldkirch;;;;;;Europe;;;;Universitätsmatrikeln
Felheim;Felheim;;;;;;Europe;;;;HassiaSuperior
Ferdinand;Ferdinand;;;;;;Europe;;;;Universitätsmatrikeln
Ferfeldensis;Ferfeld;;;;;;Europe;;;;Universitätsmatrikeln
Ferrara;Ferrara;;;;;;Europe;;;;ProfAPI
Filben];Filben];;;;;;Europe;;;;HassiaSuperior
Findensis;Find;;;;;;Europe;;;;Universitätsmatrikeln
Findheim;Findheim;;;;;;Europe;;;;Universitätsmatrikeln
Fintensis;Fint;;;;;;Europe;;;;Universitätsmatrikeln
Finthen;Finthen;;;;;;Europe;;;;Universitätsmatrikeln
Finthensis;Finth;;;;;;Europe;;;;Universitätsmatrikeln
Fisbacensis;Fisbac;;;;;;Europe;;;;Universitätsmatrikeln
Fischbacensis;Fischbac;;;;;;Europe;;;;Universitätsmatrikeln
Fischerdorf;Fischerdorf;;;;;;Europe;Vischerndorf;;;G / 1678 Juli 21
Flabacensis;Flabac;;;;;;Europe;;;;Universitätsmatrikeln
Fladungen/Franken;Fladungen, Franken;;;;;;Europe;;;;Universitätsmatrikeln
Flammersbacensis;Flammersbac;;;;;;Europe;;;;Universitätsmatrikeln
Flazheim;Flazheim;;;;;;Europe;;;;Universitätsmatrikeln
Fleckenberg/Westf;Fleckenberg, Westf;;;;;;Europe;;;;Universitätsmatrikeln
Flersheim ;Flersheim ;;;;;;Europe;;;;HassiaSuperior
Flinsberg;Flinsberg;;;;;;Europe;;;;Universitätsmatrikeln
Flinsbergensis;Flinsberg;;;;;;Europe;;;;Universitätsmatrikeln
Floerschheimensis;Floerschheim;;;;;;Europe;;;;Universitätsmatrikeln
Floersheimensis;Floersheim;;;;;;Europe;;;;Universitätsmatrikeln
Flonheim;Flonheim;;;;;;Europe;;;;Universitätsmatrikeln
Flörsheim;Flörsheim;;;;;;Europe;;;;Universitätsmatrikeln
Flörsheimensis;Flörsheim;;;;;;Europe;;;;Universitätsmatrikeln
Florstadianus;Florstad;;;;;;Europe;;;;Universitätsmatrikeln
Flostatt;Flostatt;;;;;;Europe;;;;HassiaSuperior
Fontanus;Fontanus;;;;;;Europe;;;;Universitätsmatrikeln
Fontes;Fontes;;;;;;Europe;;;;Universitätsmatrikeln
Forst;Forst;;;;;;Europe;;;;Universitätsmatrikeln
Forstensis;Forst ??;;;;;;Europe;;;;Universitätsmatrikeln
Framerbacensis;Framerbac;;;;;;Europe;;;;Universitätsmatrikeln
Framersbacensis;Framersbac;;;;;;Europe;;;;Universitätsmatrikeln
Frammersbacensis;Frammersbac;;;;;;Europe;;;;Universitätsmatrikeln
FRANCKEN.];FRANCKEN.];;;;;;Europe;;;;HassiaSuperior
Franckenberg;Franckenberg;;;;;;Europe;;;;HassiaSuperior
Franckenthalensis;Franckenthal;;;;;;Europe;;;;Universitätsmatrikeln
Franckenthalius;Franckenthalius;;;;;;Europe;;;;Universitätsmatrikeln
Franckfurt];Franckfurt];;;;;;Europe;;;;HassiaSuperior
FRANCO;FRANCO;;;;;;Europe;;;;HassiaSuperior
Franco Montanensis;Franco Montanensis;;;;;;Europe;;;;Universitätsmatrikeln
Francobergensis;Francoberg;;;;;;Europe;;;;Universitätsmatrikeln
Francofordia;Francofordia;;;;;;Europe;;;;Universitätsmatrikeln
Francofordianus;Francoford;;;;;;Europe;;;;Universitätsmatrikeln
Francofordiensis;Francofordi;;;;;;Europe;;;;Universitätsmatrikeln
Francofurt;Francofurt;;;;;;Europe;;;;Universitätsmatrikeln
Francofurtensis;Francofurt;;;;;;Europe;;;;Universitätsmatrikeln
Francothaliensis;Francothali;;;;;;Europe;;;;Universitätsmatrikeln
Franeker;Franeker;;;;;;Europe;;;;ProfAPI
Franeker [sic!];Franeker [sic!];;;;;;Europe;;;;Jahns/Erfurt
Franeker sic!];Franeker sic!];;;;;;Europe;;;;ProfAPI
Frankel;Frankel;;;;;;Europe;;;;Universitätsmatrikeln
Frankenberg;Frankenberg;;;;;;Europe;;;;Universitätsmatrikeln
Frankenhausen;Frankenhausen;;;;;;Europe;;;;ProfAPI
Frankenthal;Frankenthal;;;;;;Europe;;;;Universitätsmatrikeln
Frankfordia;Frankfordia;;;;;;Europe;;;;Universitätsmatrikeln
Frankfurt;Frankfurt;;;;;;Europe;;;;ProfAPI
Frankfurt am Main;Frankfurt am Main;;;;;;Europe;;;;ProfAPI
Frankfurt am Main?];Frankfurt am Main?];;;;;;Europe;;;;ProfAPI
Frankfurt am Main?];Frankfurt am Main?];Ableitung von Ortsnamen;;;;;Europe;;;;Jahns/Erfurt
Frankfurt am Main];Frankfurt am Main];;;;;;Europe;;;;ProfAPI
Frankfurt am Main];Frankfurt am Main];Ableitung von Ortsnamen;;;;;Europe;;;;Jahns/Erfurt
Frankfurt an der Oder;Frankfurt an der Oder;;;;;;Europe;;;;ProfAPI
Frankfurt/M;Frankfurt, M;;;;;;Europe;;;;Universitätsmatrikeln
Frankfurtensis;Frankfurt;;;;;;Europe;;;;Universitätsmatrikeln
Frankfurt-Höchst;Frankfurt-Höchst;;;;;;Europe;Höchst a. Main;;;G / 1712 März 1
Frankfurt-Kalbach-Riedberg;Frankfurt-Kalbach-Riedberg;;;;;;Europe;Kalbach;;;G / 1713 März 6
Frankfurt-Rödelheim;Frankfurt-Rödelheim;;;;;;Europe;Rödelheim;;;G / 1797 April 12
Frankfurt-Zeilsheim;Frankfurt-Zeilsheim;;;;;;Europe;Zeilsheim;;;G / 1682 Juni 1
Fränkischer Kreis;Fränkischer Kreis;;;;;;Europe;;;;ProfAPI
Frankofurtensis;Frankofurt;;;;;;Europe;;;;Universitätsmatrikeln
Frankreich;Frankreich;;;;;;Europe;;;;ProfAPI
franzüsischer;franzücher;;;;;;Europe;;;;Universitätsmatrikeln
Frauenstein;Frauenstein;;;;;;Europe;;;;Universitätsmatrikeln
Frauensteinensis;Frauenstein;;;;;;Europe;;;;Universitätsmatrikeln
Fraunberg;Fraunberg;;;;;;Europe;;;;HassiaSuperior
Fredeburgensis;Fredeburg;;;;;;Europe;;;;Universitätsmatrikeln
Fredenbergensis;Fredenberg;;;;;;Europe;;;;Universitätsmatrikeln
Fredenburgensis;Fredenburg;;;;;;Europe;;;;Universitätsmatrikeln
Freiberg;Freiberg;;;;;;Europe;;;;ProfAPI
Freiburg;Freiburg;;;;;;Europe;;;;ProfAPI
Freiburg im Breisgau;Freiburg im Breisgau;;;;;;Europe;;;;ProfAPI
Freihambacensis;Freihambac;;;;;;Europe;;;;Universitätsmatrikeln
Freilaubersheim;Freilaubersheim;;;;;;Europe;;;;Universitätsmatrikeln
Freudeberg;Freudeberg;;;;;;Europe;;;;HassiaSuperior
Freudenbergensis;Freudenberg;;;;;;Europe;;;;Universitätsmatrikeln
Freysbach;Freysbach;;;;;;Europe;;;;Universitätsmatrikeln
Friburgensis;Friburg;;;;;;Europe;;;;Universitätsmatrikeln
Frickenhausen;Frickenhausen;;;;;;Europe;;;;Universitätsmatrikeln
Frickensis;Frick;;;;;;Europe;;;;Universitätsmatrikeln
Frickhofen;Frickhofen;;;;;;Europe;;;;Universitätsmatrikeln
Frickhoffiensis;Frickhoffi;;;;;;Europe;;;;Universitätsmatrikeln
Fridbergensis;Fridberg;;;;;;Europe;;;;Universitätsmatrikeln
Fridburgensis;Fridburg;;;;;;Europe;;;;Universitätsmatrikeln
Friderodanus;Friderodanus;;;;;;Europe;;;;Universitätsmatrikeln
Friderotensis;Friderot;;;;;;Europe;;;;Universitätsmatrikeln
Frideslariensis;Frideslari;;;;;;Europe;;;;Universitätsmatrikeln
Friedberg;Friedberg;;;;;;Europe;;;;ProfAPI
Friedbergensis;Friedberg;;;;;;Europe;;;;Universitätsmatrikeln
Friedburgensis;Friedburg;;;;;;Europe;;;;Universitätsmatrikeln
Friedland in Preußen;Friedland, Preußen;;;;;;Europe;;;;ProfAPI
Friedwalt;Friedwalt;;;;;;Europe;;;;HassiaSuperior
Friesland;Friesland;;;;;;Europe;;;;Universitätsmatrikeln
Frieslandio-Eisensis;Friesland;;;;;;Europe;;;;Universitätsmatrikeln
Frisius;Frisius;;;;;;Europe;;;;Universitätsmatrikeln
Fritzlar;Fritzlar;;;;;;Europe;;;;ProfAPI
Fritzlariensis;Fritzlar;;;;;;Europe;;;;Universitätsmatrikeln
Frltzlarlensis;Fritzlar;;;;;;Europe;;;;Universitätsmatrikeln
Frýdštejn;Frýdštejn;;;;;;Europe;Friedstein;;;G / 1686 August 5
FULD.;FULD.;;;;;;Europe;;;;HassiaSuperior
Fulda;Fulda;;;;;;Europe;;;;ProfAPI
Fuldensis;Fulda;;;;;;Europe;;;;Universitätsmatrikeln
Fuldisch Dörnbach;Fulda;;;;;;Europe;;;;Universitätsmatrikeln
FÜRST...]TENTHVM];FÜRST...]TENTHVM];;;;;;Europe;;;;HassiaSuperior
Fürstenberg/Westf;Fürstenberg, Westf;;;;;;Europe;;;;Universitätsmatrikeln
Furstenburgensis;Furstenburg;;;;;;Europe;;;;Universitätsmatrikeln
FÜRSTENTHUM  ..];FÜRSTENTHUM  ..];;;;;;Europe;;;;HassiaSuperior
FÜRSTENTHVM;FÜRSTENTHVM;;;;;;Europe;;;;HassiaSuperior
FÜRSTENTUM ..];FÜRSTENTUM ..];;;;;;Europe;;;;HassiaSuperior
Fürstentum Halberstadt;Fürstentum Halberstadt;;;;;;Europe;;;;ProfAPI
Fürstenwalde;Fürstenwalde;;;;;;Europe;;;;Universitätsmatrikeln
Fürth;Fürth;;;;;;Europe;;;;Universitätsmatrikeln
Fürthensis;Fürth;;;;;;Europe;;;;Universitätsmatrikeln
Fusingensis;Fusing;;;;;;Europe;;;;Universitätsmatrikeln
G. Heller ;G. Heller ;;;;;;Europe;;;;HassiaSuperior
G: Waltstatt;G: Waltstatt;;;;;;Europe;;;;HassiaSuperior
Gabsheim;Gabsheim;;;;;;Europe;;;;Universitätsmatrikeln
Gabsheimensis;Gabsheim;;;;;;Europe;;;;Universitätsmatrikeln
Galbacensis;Galbach;;;;;;Europe;;;;Universitätsmatrikeln
Gambergensis;Gamberg;;;;;;Europe;;;;Universitätsmatrikeln
Gamburg;Gamburg;;;;;;Europe;;;;Universitätsmatrikeln
Gamburgensis;Gamburg;;;;;;Europe;;;;Universitätsmatrikeln
Gamundianus;Gamund;;;;;;Europe;;;;Universitätsmatrikeln
Gandersheim;Gandersheim;;;;;;Europe;;;;Universitätsmatrikeln
Gappenheimensis;Gappenheim;;;;;;Europe;;;;Universitätsmatrikeln
Gappennacensis;Gappennac;;;;;;Europe;;;;Universitätsmatrikeln
Garrbach;Garrbach;;;;;;Europe;;;;HassiaSuperior
Gau Algesheim;Gau Algesheim;;;;;;Europe;;;;Universitätsmatrikeln
Gau Algesheimensis;Gau Algesheim;;;;;;Europe;;;;Universitätsmatrikeln
Gau-Algesheim;Gau-Algesheim;;;;;;Europe;;;;ProfAPI
Gau-Algesheim;Gau-Algesheim;s.o.;;;;;Europe;;;;Jahns/Erfurt
Gaualgesheimensis;Gaualgesheim;;;;;;Europe;;;;Universitätsmatrikeln
Gau-Algesheimensis;Gau-Algesheim;;;;;;Europe;;;;Universitätsmatrikeln
Gaubeckelheimensis;Gaubeckelheim;;;;;;Europe;;;;Universitätsmatrikeln
Gaubickelheim;Gaubickelheim;;;;;;Europe;;;;Universitätsmatrikeln
Gau-Bickelheim;Gau-Bickelheim;;;;;;Europe;;;;Universitätsmatrikeln
Gaubickelheimensis;Gaubickelheim;;;;;;Europe;;;;Universitätsmatrikeln
Gau-Bickelheimensis;Gau-Bickelheim;;;;;;Europe;;;;Universitätsmatrikeln
Gauböckelheimensis;Gauböckelheim;;;;;;Europe;;;;Universitätsmatrikeln
Gauernitz;Gauernitz;;;;;;Europe;;;;Universitätsmatrikeln
Gaulsheimensis;Gaulsheim;;;;;;Europe;;;;Universitätsmatrikeln
Gau-Odernheim;Gau-Odernheim;;;;;;Europe;;;;Universitätsmatrikeln
Gauspizheim;Gauspizheim;;;;;;Europe;;;;Universitätsmatrikeln
Gauspizheimensis;Gauspizheim;;;;;;Europe;;;;Universitätsmatrikeln
Gebeldhausanus;Gebeldhausen;;;;;;Europe;;;;Universitätsmatrikeln
Gebelhusanus;Gebelhusanus;;;;;;Europe;;;;Universitätsmatrikeln
Geberhusanus;Geberhusanus;;;;;;Europe;;;;Universitätsmatrikeln
Gehren;Gehren;;;;;;Europe;;;;ProfAPI
Geinsheim;Geinsheim;;;;;;Europe;;;;Universitätsmatrikeln
Geisa;Geisa;;;;;;Europe;;;;Universitätsmatrikeln
Geisanus;Geisanus;;;;;;Europe;;;;Universitätsmatrikeln
Geiselbach;Geiselbach;;;;;;Europe;;;;HassiaSuperior
Geisenheim;Geisenheim;;;;;;Europe;;;;ProfAPI
Geisenheimensis;Geisenheim;;;;;;Europe;;;;Universitätsmatrikeln
Geisensis;Geis;;;;;;Europe;;;;Universitätsmatrikeln
Geisledamus;Geisledamus;;;;;;Europe;;;;Universitätsmatrikeln
Geisledanus;Geisledanus;;;;;;Europe;;;;Universitätsmatrikeln
Geisleden;Geisleden;;;;;;Europe;;;;Universitätsmatrikeln
Geisledensis;Geisled;;;;;;Europe;;;;Universitätsmatrikeln
Geisnida;Geisnida;;;;;;Europe;;;;HassiaSuperior
Geissenheim;Geissenheim;;;;;;Europe;;;;Universitätsmatrikeln
Geissenheimensis;Geissenheim;;;;;;Europe;;;;Universitätsmatrikeln
Geissenkirchensis;Geissenkirch;;;;;;Europe;;;;Universitätsmatrikeln
Geißmar;Geißmar;;;;;;Europe;;;;Universitätsmatrikeln
Geldern;Geldern;;;;;;Europe;;;;Universitätsmatrikeln
Geldorpium;Geldorpium;;;;;;Europe;;;;Universitätsmatrikeln
Geldriensis;Geldri;;;;;;Europe;;;;Universitätsmatrikeln
Geldrobelga;Geldrobelga;;;;;;Europe;;;;Universitätsmatrikeln
Geldrus;Geldrus;;;;;;Europe;;;;Universitätsmatrikeln
Gelnhaußen];Gelnhaußen];;;;;;Europe;;;;HassiaSuperior
Gemünd;Gemünd;;;;;;Europe;;;;HassiaSuperior
Gemünd (Schleiden);Gemünd,  Schleiden;;;;;;Europe;Gmünd;;;G / 1608 November 6
Gemundamus;Gemundamus;;;;;;Europe;;;;Universitätsmatrikeln
Gemünde;Gemünde;;;;;;Europe;;;;HassiaSuperior
Gemünden;Gemünden;;;;;;Europe;;;;Universitätsmatrikeln
Gensheim;Gensheim;;;;;;Europe;;;;HassiaSuperior
Georgenthal;Georgenthal;;;;;;Europe;;;;ProfAPI
Gerau;Gerau;;;;;;Europe;;;;HassiaSuperior
Gerauiensis;Geraui;;;;;;Europe;;;;Universitätsmatrikeln
Gerbichshausen/Eichsf;Gerbichshausen, Eichsf;;;;;;Europe;;;;Universitätsmatrikeln
Gerbshusanus;Gerbshusanus;;;;;;Europe;;;;Universitätsmatrikeln
Gerdensis;Gerd;;;;;;Europe;;;;Universitätsmatrikeln
Gerensis;Ger;;;;;;Europe;;;;Universitätsmatrikeln
Gerlachsheim;Gerlachsheim;;;;;;Europe;;;;Universitätsmatrikeln
Germershausen;Germershausen;;;;;;Europe;;;;Universitätsmatrikeln
Germersheim;Germersheim;;;;;;Europe;;;;Universitätsmatrikeln
Germersheimensis;Germersheim;;;;;;Europe;;;;Universitätsmatrikeln
Gernrodanus;Gernrodanus;;;;;;Europe;;;;Universitätsmatrikeln
Gernrode/Eichsf;Gernrode, Eichsf;;;;;;Europe;;;;Universitätsmatrikeln
Gernrodensis/Eichsf;Gernrod, Eichsf;;;;;;Europe;;;;Universitätsmatrikeln
Gernsheim;Gernsheim;;;;;;Europe;;;;ProfAPI
Gernsheimensis;Gernsheim;;;;;;Europe;;;;Universitätsmatrikeln
Gernspacensis;Gernspac;;;;;;Europe;;;;Universitätsmatrikeln
Gerolzhofen;Gerolzhofen;;;;;;Europe;;;;ProfAPI
Gerolzhofen/Unterfranken;Gerolzhofen, Unterfranken;;;;;;Europe;;;;Universitätsmatrikeln
Gersbacensis;Gersbac;;;;;;Europe;;;;Universitätsmatrikeln
Gersich;Gersich;;;;;;Europe;;;;HassiaSuperior
Geruesheimensis;Geruesheim;;;;;;Europe;;;;Universitätsmatrikeln
Gesberg;Gesberg;;;;;;Europe;;;;HassiaSuperior
Gesecensis;Gesec;;;;;;Europe;;;;Universitätsmatrikeln
Geseke;Geseke;;;;;;Europe;;;;Universitätsmatrikeln
Gesekensis;Gesek;;;;;;Europe;;;;Universitätsmatrikeln
Gettingano-Suevus;Göttingen;;;;;;Europe;;;;Universitätsmatrikeln
Geysenheimensis;Geysenheim;;;;;;Europe;;;;Universitätsmatrikeln
Geyße];Geyße];;;;;;Europe;;;;HassiaSuperior
Gibeldohusanus;Gibeldohusanus;;;;;;Europe;;;;Universitätsmatrikeln
Gibelstadianus;Gibelstad;;;;;;Europe;;;;Universitätsmatrikeln
Giboldehausen;Giboldehausen;;;;;;Europe;;;;Universitätsmatrikeln
Giboldehusanus;Giboldehusanus;;;;;;Europe;;;;Universitätsmatrikeln
Gieboldehausen;Gieboldehausen;;;;;;Europe;;;;ProfAPI
Gieboldehausen/Eichsf;Gieboldehausen, Eichsf;;;;;;Europe;;;;Universitätsmatrikeln
Gieboldehausen/Eichsfeld;Gieboldehausen, Eichsfeld;;;;;;Europe;;;;Universitätsmatrikeln
Gieboldehusanus;Gieboldehusanus;;;;;;Europe;;;;Universitätsmatrikeln
Gieshagen/Westph;Gieshagen, Westph;;;;;;Europe;;;;Universitätsmatrikeln
Gießen;Gießen;;;;;;Europe;;;;ProfAPI
gins];gins];;;;;;Europe;;;;HassiaSuperior
Ginzheim;Ginzheim;;;;;;Europe;;;;HassiaSuperior
Gissigheim;Gissigheim;;;;;;Europe;;;;Universitätsmatrikeln
Gladbach;Gladbach;;;;;;Europe;;;;Universitätsmatrikeln
Gladenbach ;Gladenbach ;;;;;;Europe;;;;HassiaSuperior
Glanburg;Glanburg;;;;;;Europe;;;;HassiaSuperior
Glanmünchweileranus;Glanmünchweileranus;;;;;;Europe;;;;Universitätsmatrikeln
Glashoffen;Glashoffen;;;;;;Europe;;;;Universitätsmatrikeln
Glashüttensis;Glashütt;;;;;;Europe;;;;Universitätsmatrikeln
Glattensis;Glatt;;;;;;Europe;;;;Universitätsmatrikeln
Gleichensteinensis;Gleichenstein;;;;;;Europe;;;;Universitätsmatrikeln
Gliberg;Gliberg;;;;;;Europe;;;;HassiaSuperior
Glogau;Glogau;;;;;;Europe;;;;Universitätsmatrikeln
Glotzenhof;Glotzenhof;;;;;;Europe;;;;Universitätsmatrikeln
Gmünd (Niederösterreich);Gmünd;;;; Niederösterreich;;Europe;;;;ProfAPI
Gmünd (Niederösterreich);Gmünd;;;;;;Europe;;;;Jahns/Erfurt
Goar;Goar;;;;;;Europe;;;;Universitätsmatrikeln
Goarshausen;Goarshausen;;;;;;Europe;;;;HassiaSuperior
Goch;Goch;;;;;;Europe;;;;ProfAPI
Goch/Niederrhein;Goch, Niederrhein;;;;;;Europe;;;;Universitätsmatrikeln
Göcklingen;Göcklingen;;;;;;Europe;;;;Universitätsmatrikeln
Goentzeldorffensis;Goentzeldorff;;;;;;Europe;;;;Universitätsmatrikeln
Goetzinganus;Goetzinganus;;;;;;Europe;;;;Universitätsmatrikeln
Goldbacensis;Goldbac;;;;;;Europe;;;;Universitätsmatrikeln
Goldbach;Goldbach;;;;;;Europe;;;;Universitätsmatrikeln
Goltbacisis;Goltbaci;;;;;;Europe;;;;Universitätsmatrikeln
Gonsenheim;Gonsenheim;;;;;;Europe;;;;Universitätsmatrikeln
Gonsenheimensis;Gonsenheim;;;;;;Europe;;;;Universitätsmatrikeln
Gontdorffensis;Gontdorff;;;;;;Europe;;;;Universitätsmatrikeln
Gotha;Gotha;;;;;;Europe;;;;ProfAPI
Gotorp;Gotorp;;;;;;Europe;;;;HassiaSuperior
Gottersdorf;Gottersdorf;;;;;;Europe;;;;Universitätsmatrikeln
Göttingen;Göttingen;;;;;;Europe;;;;ProfAPI
Göttingensis;Götting;;;;;;Europe;;;;Universitätsmatrikeln
Götzingen;Götzingen;;;;;;Europe;;;;Universitätsmatrikeln
Gotzingheimensis;Gotzingheim;;;;;;Europe;;;;Universitätsmatrikeln
