person_name,person_id,person_id_temporary,person_id_jgu,person_id_DigiKAR_final,person_name_variants
Jacob Paul Heinrich Ziegler,97,,,97,Jacob Heinrich Ziegler
Jakob Paul Heinrich von Ziegler,97,,,97,Ziegeler / Zieglerus / Zigler
Maria Magdalena Gudenus,98,,,98,
Magdalena Gudenus,98,,,98,
Maria Magdalena Sidonia Gabriela Theresia Gudenus,98,,,98,
Johann Pleikard Heinrich,99,,,99,Johann Pleiccard Heinrici
[Johann Pleikard] Heinrich,99,,,99,
Adolf Johann Pleichard Heinrici,99,,,99,
Johann Gerhard Bresano [?],100,,,100,
Dresanus,100,,,100,Dresano
Erhard Dresanus,100,,,100,Dresano
Johann Gerald Dresanus,100,,,100,
Johann Gerhard Dresanus,100,,,100,
Ioannes Gerardus Dresanus,100,,,100,
Christoph Ignatz Alois Gudenus,101,,,101,
Christoph Ignaz Aloys von Gudenus,101,,,101,
[Georg Marx] Hahn von Königsburg,102,,,102,Hahn von Küngsburg / Hahn von König. / Hahn von Küngsburg
Georg Marx Hahn,102,,,102,Haanen
[Georg Marx] Hahn,102,,,102,
[Georg Marx] Hahn [von Königsburg],102,,,102,
N.N. Hahn von Königsburg,102,,,102,
Goeorg Marx Hahn von Königsburg,102,,,102,
Matthiae,103,,,103,
Matthia,103,,,103,
Dieter Guillielmus Matthiae,103,,,103,
Dietrich Wilhelm Matthaei,103,,,103,
Dietrich Wilhelm Matthiae,103,,,103,
Dietrich Wilhelm von Matthiae,103,,,103,
Dietrich Matthiae,103,,,103,
Dieter Wilhelm Matthiae,103,,,103,
Maximilian Wagner,104,,,104,
Christina Sophia Tentzel,105,,,105,
Johann Heinrich Meyer,106,,,106,
Johann Heinrich Meier,106,,,106,Meyer
Johann Henrich Meier,106,,,106,
Johann Henrich Meier,122,,,106,
Johann Heinrich Mayer,106,,,106,
Johannes Heinrich Meyer,106,,,106,
Georg Friedrich von Creutz,107,,,107,
Georg Friedrich von Kreutz,107,,,107,Georg Friedrich Kreutz auf Kripitsch und Rudelsburg
[Georg Freidrich] von Kreuz,107,,,107,
Carl Dresanus,112,,,112,
M. Jacob Berger,113,,,113,
M. Jacob Berger,520,,,113,
M. Jacobus Berger,113,,,113,
Jacob M. Berger,520,,,113,Jacob M. Berringer
Jacob M. Berger,113,,,113,Jacob M. Berringer
Maria Berger,114,,,114,Berringer
Agneta Weidmann,115,,,115,Agneta Weidemann
N. Molitoris,116,,,116,
[N.N.] Papius,117,,,117,
Peter Cristian Frantz Pape,117,,,117,
[N.N.] Pape,117,,,117,
Peter Christian Franz Papius,117,,,117,
N.N. Papius,117,,,117,
Peter Christian Papius,117,,,117,
Petrus Christianus Josephus Papius,117,,,117,
Johann Hallenhorst,118,,,118,
[Johann] Hallenhorst,118,,,118,
Johannes Hallenhorst,118,,,118,
Ioannes Hallenhorst,118,,,118,
Jacob Berger,119,,,119,Jacob Berger Senior
Jacob Berger,521,,,119,Jacob Berger Senior
Jacob Berger,520,,,119,Jacob Berger Senior
Jacobus Berger,119,,,119,Berringer
[Jacob] Berger,119,,,119,
Johann Jakob Berger,119,,,119,
Jakob Berger,119,,,119,
Jakob Berger,520,,,119,
Georg Heinrich Ludolf,120,,,120,
[Georg Heinrich] Ludolf,120,,,120,Lüdolf / Ludolph
Georg Heinrich Ludolph,120,,,120,
Martha Berger,121,,,121,
Johann Heinrich Benedict Meier,122,,,122,
Hieronymus Friedrich Schorch,123,,,123,
Christian Wilhelm Schorch,124,,,124,
Friedrich Christian Schorch,125,,,125,
Johann Wilhelm Schorch,126,,,126,
Johann Wilhelm Schorch,550,,,126,
Frantz Adam Bocklett,128,,,128,
Jacobus Franciscus Bocklet,129,,,129,
Jakob Franz Bocklet,129,,,129,Boclet
Justus Christoph Weltz,130,,,130,
Justus Christophorus Weltz,130,,,130,
Johann Ernst Fratzscher,131,,,131,
Christian Heinrich Weltz,132,,,132,
Christian Heinrich Weltz,135,,,132,
Christoph Reichhart,133,,,133,
Christoph Reichardt,133,,,133,
Christoph Wilhelm Immanuel Reichart,133?,,,133,
Christoph Wilhelm Emanuel Reichardt,133,,,133,Reichard / Reichart
Friedrich Wilhelm Stallforth,134,,,134,
Heinrich Christian Weltz ,135,,,135,
Anna Regina Cöler,137,,,137,
Martha Regina Gerstenberg,138,,,138,
Martha Regina Gerstenberger,138,,,138,
Johann Joachim Gerstenberg,139,,,139,
Johann Joachim Gerstenberger,139,,,139,
Johann Joachim Gerstenberger,252,,,139,
Martha Sabina Cöler ,140,,,140,
Barbara N.N.,142,,,142,
Theresia Rotermund,143,,,143,
Maria Philippina Theresia Rotermund,143,,,143,
Catharina N.N.,144,,,144,
Philippina von Fensterer,145,,,145,Philippina von Bellmont
Philippina von Bellmont,145,,,145,
Johann Wolfgang Jungk,146,,,146,
Johann Jungk,146,,,146,
Clara Catharina Bader,147,,,147,
Martha Sophie Schmidt,148,,,148,
Johann Jacob Schmidt,149,,,149,
Johann Jakob Schmidt,149,,,149,Schmid / Schmied / Schmidius / Schmitt / Smid
Martha Sophia Menius,150,,,150,
Justina Margaretha Schmidt ,151,,,151,
Justina Magdalena Schmidt ,151,,,151,
Justina Magdalena Schmidt,151,,,151,
Anna Christina Möltzer ,152,,,152,
Johannes Stechanius,153,,,153,
Johannes Stechanius ,153,,,153,Johannes Stechau
Regina Magdalena Langguth,154,,,154,
Barbara Regina Magdalena Langguth,154,,,154,
Eva Maria Breitenbach,155,,,155,
Hieronymus Friedrich Breitenbach,156,,,156,
Anna Veronica Schwengfeld,157,,,157,
Anna Maria von Zwehl,158,,,158,
Maria Anna von Gudenus,159,,,159,
Maria Anna Gudenus,159,,,159,
Martha Catharina Böning,160,,,160,
Maria Katharina Böning,160,,,160,
Johann Nicolaus Reinhardt,161,,,161,
Dorothea Wilhelmina Birnstiel,162,,,162,
Georg Heinrich Birnstiel ,163,,,163,
Maria Josepha Rotermund,164,,,164,
Anna Philippina Meinong,165,,,165,
Johann Valentin Friese,166,,,166,
J[ohann] V[alentin] Friese,166,,,166,
Johannes Valentin Frisius,166,,,166,
Johann Valentin Frisius,166,,,166,
Sophia Josepha Rotermund ,167,,,167,
Josepha Rotermund,167,,,167,
Francisca Stahl ,168,,,168,
Francisca Renata Elisabeth Stahl,168,,,168,
Martha Adami,170,,,170,
Adelgunda Elisabeth Streit,171,,,171,
Johannes Laurentius Welsch,172,,,172,
Rosina Sophia Perthes,173,,,173,
Johann Justus Perthes,174,,,174,
Johanna Regina Hesse,175,,,175,
Eleonore Sophie Friese,176,,,176,
Eleonora Sophia Friese,176,,,176,
Rosina Catharina Ulle ,177,,,177,
Georg Ulle ,178,,,178,
Georg Ulle,178,,,178,
Georg Ulla,178,,,178,
Martha Sophia Schmatz,179,,,179,
Susanna Christina Weltz ,180,,,180,
Friederike Eleonore Weltz ,181,,,181,
Martha Magdalena Fabritius,182,,,182,
Johann Heinrich Rudolphi ,183,,,183,
Christina Schröder,184,,,184,
Michael Schröder,185,,,185,
Heinrich Enoch Ziegler,186,,,186,
Heinrich Enoch von Ziegler,186,,,186,
Anna Regina von Brettin,187,,,187,
Philipp Johann Jacobi,188,,,188,
Johann Philipp Jacobi,188,,,188,
Sophie Brochhausen,190,,,190,
Jost Brochhausen,191,,,191,
Johanne Christiane Kießling,192,,,192,
Johann Kießling,193,,,193,
Volckmar Schorch,194,,,194,
Juditha Dorothea Stiede,195,,,195,
Martha Rosina Beyer,196,,,196,
Catharina Maria Vogel,197,,,197,Catharina Maria Schorch
Christina Juditha Schorch,198,,,198,
David Georg Ernemann,199,,,199,
Catharina Dorothea Fischer,200,,,200,
Balthasar Fischer ,201,,,201,
Marie Dorothee Büchner,202,,,202,
Johann Christoph Büchner ,203,,,203,
M. Melchior Weidmann,204,,,204,
Melchior Weidmann,204,,,204,Melchior Weidemann
Anna Voigt,205,,,205,
Anna Berger ,206,,,206,
Magdalena Berger,207,,,207,
Johann David Schorch,208,,,208,
Johann David Schorch,550,,,208,
Anna Mohr ,209,,,209,Anna Noß
Christoph Avianus,210,,,210,
Johann Melchior Förster,211,,,211,
Johann Rehefeld,212,,,212,
Wolff Christoph von Ziegler,213,,,213,
Antonetta Wilhelmina Ziegler,214,,,214,
Maria Salome Müller ,215,,,215,
Johannes Schorch,216,,,216,
Johann Christian Gudenus,217,,,217,
Johann Daniel von Lincker,219,,,219,
Ernestus Cöler,220,,,220,
Carl Friedrich Molitoris,221,,,221,
Johann Anton Pipper,222,,,222,
Johann Jakob Franz Spoenla,223,,,223,
Johann Jacobus Franciscus Spoenla,223,,,223,
Johann Jacob Frantz Spoenla,223,,,223,
Johann Karl Weltz,224,,,224,Welz
Johann Carl Welz,224,,,224,
Johann Carl Weltz,224,,,224,
Elias Andreas Stechan,225,,,225,
Burckhardt Lincker,226,,,226,
Burckhardt Lincker von Lützenwick,226,,,226,
Sibille Lincker,228,,,228,
[N.N.] Meinong,229,,,229,
Nicolaus Meinong,229,,,229,
[N.N] Everts,230,,,230,
Joachim Dietrich Evers,230,,,230,
Sebastian Evert,230,,,230,
[Johann Moritz] Gudenus [?],231,,,231,
Johannes Mauritius Gudenus,231,,,231,
Johann Mauritz Bodo Gudenus,231,,,231,
Johann Mauritz Bodo von Gudenus,231,,,231,
Johannes Mauritius de Gudenus,231,,,231,
Johann Gottfried Spoenla,232,,,232,
Philipp Wilhelm von Boineburg,233,,,233,
Philipp Wilhelm Freiher von Boyneburg,233,,,233,
Philipp Wilhelm Reichsgraf von Boineburg,233,,,233,
Philipp Wilhelm Graf von Boyneburg,233,,,233,
Philipp Wilhelm Graf und edler Herr von Boineburg,233,,,233,
Philipp Wilhelm Freiherr von Boineburg,233,,,233,
Johann Heinrich Rotermundt,234,,,234,
Johann Adam Strecker ,235,,,235,
Johann Adam Strecker,235,,,235,
Johann Adam Strecker,421,,,235,
Johann Bartholomäus Brückmann,236,,,236,
Johann Christian von Boineburg ,237,,,237,
Johann Christian Freiherr von Boineburg,237,,,237,
Johann Christian von Boineburg,237,,,237,
Johann Christian Baron von Boineburg,237,,,237,
Johann Christian von Boyneburg,237,,,237,
Johann Christian Freiherr von Boyneburg,237,,,237,Boineburg
Carl Anselm Freiherr von Breidbach zu Bürresheim,238,,,238,
Sophia Eleonora von Rothenhahn,239,,,239,
Joachim Andreas von Brettin,240,,,240,
Andreas Joachim von Brettin,240,,,240,
Regina Dorothea von Seltzer,241,,,241,
Dorothea Sophia von Ziegler,242,,,242,
Anna Regina Ilgen,243,,,243,
Sabine Magdalene Cöler,244,,,244,
Susanne Sabine Coeler,245,,,245,
Caspar Friedrich Lentin,246,,,246,
Kaspar Friedrich Lentin,246,,,246,
M. Johann Ludwig Döring,247,,,247,
Johann Ludwig Döring,247,,,247,
Johann Ludwig Döring,247?,,,247,
M. Joh. Ludwig Döring,247,,,247,
Friederica Sophia Magdalena Döring,248,,,248,
Christiana Sibylla Weltz,249,,,249,
Henrietta Maria Weltz,250,,,250,
Martha Sophia Schmaltz,251,,,251,
Johann Jacob Gerstenberger,253,,,253,
Jacobus Gerstenberger,271,,,253,
Dorothea Regina Gerstenberg,254,,,254,
Joachim Gerstenberger,255,,,255,Gerstenberg
Joachim Gerstenberger,256,,,255,Gerstenberg
Joachim Gerstenberg,255,,,255,
Joachim Gerstenberg,256,,,255,
