Johannes Wilhelm  Langen;5
Johannes Jacobus  von Lasser;13
Peter Joseph  Leydig;11
Anselm Franz  Lieb;26
Gottfried Christian  Lieb;14
Albert Wilhelm  Linde;4
Johann Jakob  Lipp;4
Ludwig Philipp  Behlen;28
Nikolaus Philipp  Lisignolo;10
Sebastian Maria Joseph Alexander  Loth;20
Christian Maria Joseph Alexander  Beinhauer;1
Hieronymus Maria Joseph Alexander  von Ludolph;20
Bernhard Gottfried  Mandel;11
Joseph Thomas  Mantz;10
Anton Maria  Marchand;5
Martin Simplicius  Mayer;13
Georg Friedrich  Medicus;6
Franz Ulrich  Megele;11
Johannes Petrus  Menshengen;9
Johannes Adolf  Mergentheim;4
Jakob Adolf  Merstetter;14
Quirinus Adolf  von Mertz;11
Anton Franz  Metternich;21
Johann Peter  Bentzel;15
Johann Friedrich  Michael;9
Albert Friedrich  von Minsingen;14
Gabriel Friedrich  Mintzenthaler;6
Johann Conrad  Moeller;5
Johann Theodor  Moeren;2
Emanuel Theodor  Moerzer;12
Philipp Theodor  Mohr;8
Nikolaus Karl  Molitor;21
Valentin Friedrich  Molitor;11
Friedrich Rudolf  Moll;11
Georg Wilhelm  Moll;9
Justus Philipp Wilhelm  Moll;8
Johann Peter  Molstetter;12
Augustinus Peter  Berchem;7
Cornelius Peter  Montfort;8
Johannes Peter  Möring;12
Joseph Nikolaus  Moser;7
Johann Kaspar  Müller;9
Johannes Wolfgang  Munck;9
Johann Jakob  Nauheimer;23
Johann Georg  Neureuther;17
Johann Ernst  Neusesser gen. Leibelbacher;19
Leonhard Otto Constantin  Nimis;24
Johannes Otto Constantin  Berneburger;11
Johann Jakob  Oppenheimer;14
Peter Jakob  Ostermann;8
Wilhelm Jakob  Osterrod;3
Johann Christian  von Ottendal;13
Nikolaus Theodor  Pauli;10
Raymund Theodor  Peetz;13
Adolf Georg Hugo Samuel  von Pempelfurt;13
Johann Friedrich  von Pfeiffer;10
Lubentius Friedrich  Pfingsthorn;8
Johannes Friedrich  Bertram;28
Sebastianus Friedrich  Plest;5
Johannes Friedrich  Püchler;5
Johann Michael Ignaz  Ratzen;9
Petrus Michael Ignaz  Ravennas;19
Bernhard Gottfried  Reider;18
Johann Georg Wilhelm  Reineck;10
Jodocus Georg Wilhelm  Reis;9
Johannes Claudius  Renard;11
Jakob Heinrich  Reuter;11
Franz Anton  Rhodius;11
Johann Christoph  Richter;10
Lambert Christoph  Richtergin;10
Johann Christoph  Riedesel;9
Franz Philipp  Beusser;8
Johannes Wilhelm  Beusser;4
Joseph Matthias  Rosmann;17
Johann Richard  von Roth;35
Joseph Leopold  Roth;3
Nikolaus Otto  Rucker;11
Nikolaus Otto  Rücker;9
Friedrich Wilhelm  Rüding;12
Wendelinus Wilhelm  Ruf;6
Philipp Anton Ignaz  Ruth;9
Alexander Günther  Samhaber;6
Wilhelm Jakob  Sattler;5
Karl Anton  Schaab;14
Amandus Clemens  Schell;14
Johannes Alexander  Schilling;3
Eucharius Alexander  Schlaun;4
Johann Franz  Schlaun;10
Andreas Franz  Birnbeck;14
Michael Anna  Schleiffert;7
Georg Anna  Schlör;24
Friedrich Anton  Schmidt;7
Bernhard Max  Schöfferlin;9
Bernhard Max  Scholl;22
Johann Josef  Schönhuber;7
Johann Leonhard  Schörly;28
Georg Leonhard  Schraub;9
Philipp Adam  Schultheiss;22
Philippus Friedrich  von Schwalbach;6
Johannes Ernst Alexander  Schwartzman;8
Johann Gottfried  Schweickard;14
Kaspar Gottfried  Schweickardt;7
Georg William Mulvany  Seiler;15
Jodocus William Mulvany  Selbach;20
Joseph William Mulvany  Seubert;9
Peter Nikolaus  Söhnchen;18
Samuel Thomas  Sömmering;24
Johannes Thomas  Sorbillo;7
Valentin Amandus  Bleidenstatt;10
Stephan Felix  Steick;3
Karl Dieter  Strack;23
Franz Peter  Straub;8
Johann Valentin  Strauss;16
Georg Nikolaijewitsch  Blum;6
Johann Georg  Thein;9
Johannes Georg  Thevern;12
Leonhard Albertinus  de Alten;2
Friedrich Franz  Thyri;10
Rolinus Günther  Tinctoris;10
Dietrich Friedrich  Ulsenius;8
Johannes Friedrich  Unckel;14
Gottlieb Friedrich  Ungleich;11
Petrus Nikolaus  Unkraut;12
Peter Nikolaus  Viersen;10
Franz Ignaz Joseph  Bodmann;30
Heinrich Ignaz Joseph  Vogelmann;6
Johannes Ignaz Joseph  Vogelmann;23
Johannes Christoph  Vogelmann;11
Melchior Adolph  Vogelmann;13
Franz Adolph  Vogt;10
Josef Theobald  Vogt;10
Paul Kardinal  Volmar;8
Anton Kardinal  Voltz;3
Cyprian Kardinal  Vomelius;17
Jacob Kardinal  Vosbach;6
Michael Kardinal  Voss;20
Georg Joseph  Wagner;15
Johannes Fritz Konrad  Wahinger;11
Philipp Friedrich  Waldmann;13
Johann Wendelin  Wasmuth;21
Georg Christian Gottlieb Theophil  Wedekind;30
Johann Peter  Weidmann;13
Conrad Peter  Weidmann;13
Johann Diether  Weidmann;13
Karl Veit  Weidner;6
Johannes Veit  Bondius;2
Franz Gottfried  Weinzürl;8
Ludwig Konstantin  Reichsfreiherr von Welden;13
Jakob Konstantin  Welder;19
Josef Franz  Wenzel;13
Damian Friedrich  Boost;9
Josef Franz Ignaz Aloys  Wenzel;10
Karl August  Wenzel;8
Johann Hermann Joseph  Werren;10
Kaspar Hermann Joseph  von Westhausen;13
Georg Joseph  Westhofen;6
Johann Hugo  Widt;6
Christoph Ignaz  Wiese;13
Johann Rudolf  Will;16
Lorenz Rudolf  Wilthelm;11
Mercurius Rudolf  Wilthelm;9
Karl Joseph Hieronymus  Windischmann;18
Johann Joseph Hieronymus  Wink;7
Ivo Walter Wilhelm  Wittich;19
Franz Joseph  Wittmann;10
Franz Valentin  Woger;9
Philipp Lambert  Wolf von Rosenbach;7
