,place_name,id
1460,Oppau,2875374
1461,Oggersheim,2875375
1462,Ludersheim,2875423
1465,Lottstetten,2875738
1466,Lottstetten,2875738
1467,Lossen (Göhren),2875810
1468,Lörzweiler,2875868
1469,Lörzweiler,2875868
1470,Lorsch,2875877
1471,Lorsch,2875877
1472,Lorsch,2875877
1473,Lorsch,2875877
1474,Lorsch,2875877
1475,Lorchhausen,2875907
1476,Lorchhausen,2875907
1477,Lorchhausen,2875907
1478,Lorchhausen,2875907
1479,Lorchhausen,2875907
1481,Lohr am Main,2876147
1482,Lohr am Main,2876147
1483,Lohr am Main,2876147
1484,Lohr,2876147
1485,Lohr am Main,2876147
1486,Lohndorf (Litzendorf),2876191
1487,Lipprechterode,2876870
1488,Linz am Rhein,2876952
1489,Lingen (Ems),2877088
1490,Linderbach,2877233
1491,Linderbach,2877233
1492,Limburg-Lindenholzhausen,2877264
1493,Limburg-Lindenholzhausen,2877264
1494,Limburg-Lindenholzhausen,2877264
1495,Lindau,2877550
1496,Lindau,2877550
1497,Lindau,2877550
1498,Lindau,2877550
1499,Lindau,2877550
1500,Limburg a.d. Lahn,2877648
1501,Limburg / Lahn,2877648
1502,Limburg / Lahn,2877648
1503,Limburg / Lahn,2877648
1504,Limburg / Lahn,2877648
1505,Limburg / Lahn,2877648
1506,Limburg an der Lahn,2877648
1507,Lichtenfels,2878074
1508,Lettgenbrunn,2878431
1509,Lenterode,2878760
1510,Lenterode,2878760
1511,Lenterode,2878760
1512,Lenterode,2878760
1513,Lenterode,2878760
1514,Lenterode,2878760
1515,Lenhausen,2878810
1516,Lenhausen,2878810
1517,Lengfurt,2878825
1518,Lengfurt,2878825
1519,Lemgo,2878943
1520,Lippe,2878943
1521,Lembeck,2878959
1522,Leipzig,2879139
1523,Leipzig,2879139
1524,Sachsen,2879139
1525,Leinefelde,2879193
1526,Leinefelde,2879193
1527,Leinefelde,2879193
1528,Leinefelde,2879193
1529,Leinefelde,2879193
1530,Leinefelde,2879193
1531,Leinefelde,2879193
1532,Leinefelde,2879193
1533,Lehmen,2879498
1534,Augsburg-Lechhausen,2879779
1535,Lechenich,2879782
1536,Lechenich,2879782
1537,Koblenz Lay,2879837
1539,Lauterecken,2879895
1540,Lauterecken,2879895
1541,Lauterbach (Hessen),2879929
1542,Lauterbach (Hessen),2879929
1543,Laupertshausen,2880078
1544,Lauffen am Neckar,2880111
1545,Laufenburg (Baden),2880121
1546,Laufenburg (Baden),2880121
1547,Laufach,2880146
1548,Laudenberg (Limbach),2880197
1549,Laubuseschbach,2880231
1550,Mainz-Laubenheim,2880270
1551,Mainz-Laubenheim,2880270
1552,Langenprozelten,2880956
1553,Langenprozelten,2880956
1554,Langenenslingen,2881094
1555,Langenborn,2881149
1556,Langenborn,2881149
1557,Kirburg,2881227
1558,Langenau,2881259
1559,Langenau,2881259
1560,Landstuhl,2881477
1561,Landshut,2881485
1562,Landshausen (Kraichtal),2881488
1563,Landau in der Pfalz,2881646
1564,Lahr (Westerwald),2881881
1565,Lahr/Schwarzwald,2881885
1566,Lahr/Schwarzwald,2881885
1567,Lahnstein,2881889
1568,Lahnstein,2881889
1569,Lahnstein,2881889
1570,Ladenburg,2881980
1571,Ladenburg,2881980
1572,Ladenburg,2881980
1573,Kuppenheim,2882375
1574,Kupferzell,2882399
1575,Kupferberg,2882417
1576,Külsheim,2882575
1577,Külsheim,2882575
1578,Külsheim,2882575
1579,Külsheim,2882575
1580,Külsheim,2882575
1581,Külsheim,2882575
1582,Külsheim,2882575
1583,Külsheim,2882575
1584,Külsheim,2882575
1585,Küllstedt,2882597
1586,Küllstedt,2882597
1587,Kronberg,2883754
1588,Kronberg,2883754
1589,Kronberg,2883754
1590,Kronberg,2883754
1591,Kronberg,2883754
1592,Kronach,2883784
1593,Kronach,2883784
1594,Kriftel,2883920
1595,Kriftel,2883920
1596,Kriftel,2883920
