item	itemLabel	state	GeoNamesID	country	terrain	date	named
http://www.wikidata.org/entity/Q2458532	Terra Mariana						
http://www.wikidata.org/entity/Q2465074	Ban de la Roche						
http://www.wikidata.org/entity/Q2598686	County of Diepholz						
http://www.wikidata.org/entity/Q2670751	Margraviate of Moravia						
http://www.wikidata.org/entity/Q2719360	Duchy of Luxembourg						
http://www.wikidata.org/entity/Q2991474	County of Württemberg						
http://www.wikidata.org/entity/Q3456410	Republic of Mulhouse						
http://www.wikidata.org/entity/Q3569464	Wismar						
http://www.wikidata.org/entity/Q3624335	Duchy of Austria						
http://www.wikidata.org/entity/Q3802443	Isenburg-Wächtersbach						
http://www.wikidata.org/entity/Q3833225	Lippe-Alverdissen						
http://www.wikidata.org/entity/Q3845763	Margravate of Mantua						
http://www.wikidata.org/entity/Q5177890	County of Luxembourg						
http://www.wikidata.org/entity/Q7904317	Electorate of Cologne						
http://www.wikidata.org/entity/Q11024667	Duchy of Mecklenburg-Schwerin						
http://www.wikidata.org/entity/Q12817455	County of Nassau						
http://www.wikidata.org/entity/Q14631246	Duchy of Saxony (1180–1296)						
http://www.wikidata.org/entity/Q15130492	Stift Corvey						
http://www.wikidata.org/entity/Q16831619	Hohnstein						
http://www.wikidata.org/entity/Q19831559	Oldenburg						
http://www.wikidata.org/entity/Q19902345	Lordship of Hanau						
http://www.wikidata.org/entity/Q21077045	landgraviate of Upper Alsace						
http://www.wikidata.org/entity/Q54805326	lordship of Échéry						
http://www.wikidata.org/entity/Q54810258	Free City of Obernai						
http://www.wikidata.org/entity/Q54810282	Free City of Rosheim						
http://www.wikidata.org/entity/Q54818777	Imperial Abbey of Wissembourg						
http://www.wikidata.org/entity/Q58942549	landgraviate of Lower Alsace						
http://www.wikidata.org/entity/Q95895695	Free Imperial City of Strasbourg						
http://www.wikidata.org/entity/Q96456912	Free City of Sélestat						
http://www.wikidata.org/entity/Q97924757	Free City of Colmar						
http://www.wikidata.org/entity/Q97940738	Free City of Haguenau						
http://www.wikidata.org/entity/Q97940833	Free City of Kaysersberg						
http://www.wikidata.org/entity/Q97940882	Free City of Seltz						
http://www.wikidata.org/entity/Q97941965	Free City of Turckheim						
http://www.wikidata.org/entity/Q97943978	Free City of Wissembourg						
http://www.wikidata.org/entity/Q100594799	Electorate of Hesse						
http://www.wikidata.org/entity/Q110133597	County of Vianden						
http://www.wikidata.org/entity/Q112269760	Wippergau						
http://www.wikidata.org/entity/Q115576895	Free imperial city of Ravensburg						
http://www.wikidata.org/entity/Q115776867	Free imperial city of Hamburg						
http://www.wikidata.org/entity/Q22880	Electoral Palatinate						
http://www.wikidata.org/entity/Q34762	Principality of Bayreuth						
http://www.wikidata.org/entity/Q42585	Kingdom of Bohemia						
http://www.wikidata.org/entity/Q47261	Duchy of Bavaria						
