Grafschaften Oldenburg und Delmenhorst,None
Grafschaften Stolberg und Wernigerode,None
Herrlichkeit Hörstgen nebst Rittersitz Frohnenburg,None
Herrschaft Anholt,Q545414
Herrschaft Asch,Q21050537
Herrschaft Bretzenheim,Q2639956
Herrschaft Dagstuhl,Q472169
Herrschaft Dreis,None
Herrschaft Dyck,None
Herrschaft Eglingen,None
Herrschaft Eglofs,None
Herrschaft Ehrenfels,Q19285515
Herrschaft Freudenberg,None
Herrschaft Gemen,Q477038
Herrschaft Gimborn und Neustadt,None
Herrschaft Gundelfingen,None
Herrschaft Hanau-Lichtenberg,None
Herrschaft Hausen,Q1614397
Herrschaft Hausen,Q1614397
Herrschaft Hohenwaldeck,None
Herrschaft Jever,Q186791
Herrschaft Justingen,Q56423501
Herrschaft Kniphausen,Q1236847
Herrschaft Lebach,None
Herrschaft Limpurg,None
Herrschaft Meßkirch,None
Herrschaft Millendonk,None
Herrschaft Nalbach,None
Herrschaft Oberstein,None
Herrschaft Ollbrück,Q1293833
Herrschaft Pyrmont,None
Herrschaft Reichelsberg,None
Herrschaft Reipoltskirchen,Q2550872
Herrschaft Rhade,None
Herrschaft Rheda,Q932656
Herrschaft Richold,None
Herrschaft Saffenberg,None
Herrschaft Schaumburg,Q871412
Herrschaft Schönau,Q2529996
Herrschaft Schwarzenholz,None
Herrschaft Stein,Q1536775
Herrschaft Steinsheim,None
Herrschaft Tarasp,None
Herrschaft Thannhausen,None
Herrschaft Thurn und Taxis,Q2116135
Herrschaft Wasserburg,Q21039607
Herrschaft Welzheim,None
Herrschaft Wickrath,Q1677185
Herrschaft Wiesensteig,Q20309844
Herrschaft Wiesentheid,Q23786501
Herrschaft Wildenberg,Q1395179
Herrschaft Winneburg und Beilstein,Q574917
Herrschaft Wittem,Q14276968
Herrschaft Wylre,None
Herrschaften der Grafen von Reuß,None
Herrschaften der Grafen von Schönberg,None
Herrschaften Mindelheim und Schwabegg,None
Herrschaften Reichenstein,None
Herrschaften Sulzburg und Pyrbaum,None
