item	itemLabel	GeoNamesID	country	terrain	date	named
http://www.wikidata.org/entity/Q649192	Prince-Bishopric of Paderborn					
http://www.wikidata.org/entity/Q650489	Margraviate of Baden					
http://www.wikidata.org/entity/Q650645	Prince-Bishopric of Minden					
http://www.wikidata.org/entity/Q654893	Löwenstein-Wertheim					
http://www.wikidata.org/entity/Q662874	First Congress of Vienna					
http://www.wikidata.org/entity/Q669970	Imperial Diet					
http://www.wikidata.org/entity/Q675085	Saxe-Gotha-Altenburg					
http://www.wikidata.org/entity/Q678326	personalist					
http://www.wikidata.org/entity/Q687124	Swabian League					
http://www.wikidata.org/entity/Q688530	House of Dietrichstein					
http://www.wikidata.org/entity/Q691882	Münster rebellion					
http://www.wikidata.org/entity/Q693411	Peace of Constance					
http://www.wikidata.org/entity/Q693551	Landgraviate of Hesse-Darmstadt					
http://www.wikidata.org/entity/Q693562	Duchy of Saxe-Wittenberg					
http://www.wikidata.org/entity/Q693980	Duchy of Swabia					
http://www.wikidata.org/entity/Q694019	podestà					
http://www.wikidata.org/entity/Q694594	Duchy of Bremen and Verden					
http://www.wikidata.org/entity/Q697084	Duchy of Oldenburg					
http://www.wikidata.org/entity/Q697254	Prince-Bishopric of Münster					
http://www.wikidata.org/entity/Q697940	Plater family					
http://www.wikidata.org/entity/Q698530	House of Liechtenstein					
http://www.wikidata.org/entity/Q699964	Archduchy of Austria					
http://www.wikidata.org/entity/Q700229	Saxe-Gotha					
http://www.wikidata.org/entity/Q700283	Austrian Netherlands					
http://www.wikidata.org/entity/Q700663	Saxe-Coburg-Saalfeld					
http://www.wikidata.org/entity/Q702224	Duchy of Carinthia					
http://www.wikidata.org/entity/Q703097	Edict of Restitution					
http://www.wikidata.org/entity/Q704288	Duchy of Holstein					
http://www.wikidata.org/entity/Q706018	Electorate of Brunswick-Lüneburg					
http://www.wikidata.org/entity/Q706216	Augsburg Interim					
http://www.wikidata.org/entity/Q706679	Duchy of Bar					
http://www.wikidata.org/entity/Q707604	Reichskammergericht					
http://www.wikidata.org/entity/Q707767	Prince-Bishopric of Utrecht					
http://www.wikidata.org/entity/Q708742	Lower Rhenish–Westphalian Circle					
http://www.wikidata.org/entity/Q708862	Treaty of Lübeck					
http://www.wikidata.org/entity/Q731814	Catholic League					
http://www.wikidata.org/entity/Q751868	Landgraviate of Brabant					
http://www.wikidata.org/entity/Q760204	Augau					
http://www.wikidata.org/entity/Q762943	County of Holland					
http://www.wikidata.org/entity/Q766501	Duchy of Mantua					
http://www.wikidata.org/entity/Q771332	Prince-Bishopric of Strasbourg					
http://www.wikidata.org/entity/Q772861	Margraviate of Antwerp					
http://www.wikidata.org/entity/Q776053	Landi family					
http://www.wikidata.org/entity/Q780721	Roman Catholic Diocese of Schwerin					
http://www.wikidata.org/entity/Q782304	Egerland					
http://www.wikidata.org/entity/Q811180	Baudissin					
http://www.wikidata.org/entity/Q818252	Bentheim-Tecklenburg					
http://www.wikidata.org/entity/Q819693	Land van den Bergh					
http://www.wikidata.org/entity/Q819968	Reuss (imperial county)					
http://www.wikidata.org/entity/Q825489	Q825489					
http://www.wikidata.org/entity/Q830084	Principality of Brunswick-Wolfenbüttel					
http://www.wikidata.org/entity/Q831378	County of Vaduz					
http://www.wikidata.org/entity/Q831544	Bailiwick of Haguenau					
http://www.wikidata.org/entity/Q831779	Lordship of Schellenberg					
http://www.wikidata.org/entity/Q832107	imperial election					
http://www.wikidata.org/entity/Q832315	Königsbronn Abbey					
http://www.wikidata.org/entity/Q832888	county of Nordgau					
http://www.wikidata.org/entity/Q835934	Edict of Worms					
http://www.wikidata.org/entity/Q852111	Anscarids					
http://www.wikidata.org/entity/Q853921	Peace Treaty of Wiener Neustadt					
http://www.wikidata.org/entity/Q874567	County of Hanau					
http://www.wikidata.org/entity/Q874576	Wendish cities					
http://www.wikidata.org/entity/Q876546	Principality of Minden					
http://www.wikidata.org/entity/Q876797	House of Henneberg					
http://www.wikidata.org/entity/Q883257	Roman Catholic Diocese of Minden					
http://www.wikidata.org/entity/Q883667	Corpus Evangelicorum					
http://www.wikidata.org/entity/Q886546	Blutfahne					
http://www.wikidata.org/entity/Q896856	Prince-Bishopric of Konstanz					
http://www.wikidata.org/entity/Q960016	burgrave					
http://www.wikidata.org/entity/Q970082	Franconian Circle					
http://www.wikidata.org/entity/Q999042	Upper Rhenish Circle					
