Abtei Baindt, Schwäbischer Reichskreis,
Grafschaft Fagnolle, Nicht eingekreiste Territorien,
Grafschaft Falkenstein, Oberrheinischer Reichskreis,
Grafschaft Flandern, Burgundischer Reichskreis,
Grafschaft Glatz, Nicht eingekreiste Territorien,
Grafschaft Gronsfeld, Niederrheinisch-westfälischer Reichskreis,
Grafschaft Haag, Bayerischer Reichskreis,
Grafschaft Hallermunt, Niederrheinisch-westfälischer Reichskreis,
Grafschaft Hanau-Münzenberg, Oberrheinischer Reichskreis,
Grafschaft Heiligenberg, Schwäbischer Reichskreis,
Grafschaft Hennegau, Burgundischer Reichskreis,
Grafschaft Hohenems, Schwäbischer Reichskreis,
Grafschaft Hohengeroldsegg, Schwäbischer Reichskreis,
Grafschaft Hohenlohe, Fränkischer Reichskreis,
Grafschaft Hohenzollern-Sigmaringen, Schwäbischer Reichskreis,
Grafschaft Hohnstein nebst den Herrschaften Lohra und Klettenberg, Obersächsischer Reichskreis,
Grafschaft Holzappel, Niederrheinisch-westfälischer Reichskreis,
Grafschaft Homburg, Nicht eingekreiste Territorien,
Grafschaft Hoya, Niederrheinisch-westfälischer Reichskreis,
Grafschaft Kerpen und Lommersum, Niederrheinisch-westfälischer Reichskreis,
Grafschaft Kriechingen, Oberrheinischer Reichskreis,
Grafschaft Königsegg und Herrschaft Aulendorf, Schwäbischer Reichskreis,
Grafschaft Königstein (teils kurmainzisch / teils stolbergisch), Oberrheinischer Reichskreis,
Grafschaft Lippe, Niederrheinisch-westfälischer Reichskreis,
Grafschaft Mansfeld, Obersächsischer Reichskreis,
Grafschaft Mömpelpard, Nicht eingekreiste Territorien,
Grafschaft Namur, Burgundischer Reichskreis,
Grafschaft Niederisenburg, Kurrheinischer Kreis,
Grafschaft Oberisenburg (fürstliches Haus Isenburg-Birstein), Oberrheinischer Reichskreis,
Grafschaft Oberisenburg (gräfliches Haus Isenburg-Büdingen-Büdingen), Oberrheinischer Reichskreis,
Grafschaft Oberisenburg (gräfliches Haus Isenburg-Büdingen-Meerholz), Oberrheinischer Reichskreis,
Grafschaft Oberisenburg (gräfliches Haus Isenburg-Büdingen-Wächtersbach), Oberrheinischer Reichskreis,
Grafschaft Oettingen, Schwäbischer Reichskreis,
Grafschaft Ortenburg, Bayerischer Reichskreis,
Grafschaft Pyrmont, Niederrheinisch-westfälischer Reichskreis,
